raw.x	raw.y	pass
2014 OCEANS - ST. JOHN'S	2014 OCEANS - ST. JOHN'S, OCEANS 2014	Partial
BIOTECHNIC \& HISTOCHEMISTRY	BIOTECHNIC AND HISTOCHEMISTRY	Partial
CLINICAL COSMETIC AND INVESTIGATIONAL DERMATOLOGY	CLINICAL, COSMETIC AND INVESTIGATIONAL DERMATOLOGY	Partial
DARU-JOURNAL OF PHARMACEUTICAL SCIENCES	DARU, JOURNAL OF PHARMACEUTICAL SCIENCES	Partial
FIBRES \& TEXTILES IN EASTERN EUROPE	FIBRES AND TEXTILES IN EASTERN EUROPE	Partial
IFAC PAPERSONLINE	IFAC-PAPERSONLINE	Partial
JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS	JOURNAL OF ARCHAEOLOGICAL SCIENCE: REPORTS	Partial
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS	JOURNAL OF THE ROYAL STATISTICAL SOCIETY. SERIES C: APPLIED STATISTICS	Partial
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS	JOURNAL OF THE ROYAL STATISTICAL SOCIETY. SERIES C: APPLIED STATISTICS	Partial
PIPELINES 2017: CONSTRUCTION AND REHABILITATION	PIPELINES 2017: CONSTRUCTION AND REHABILITATION - PROCEEDINGS OF SESSIONS OF THE PIPELINES 2017 CONFERENCE	Partial
STRUCTURES CONGRESS 2018: BUILDINGS AND DISASTER MANAGEMENT	STRUCTURES CONGRESS 2018: BUILDINGS AND DISASTER MANAGEMENT - SELECTED PAPERS FROM THE STRUCTURES CONGRESS 2018	Partial
ZHURNAL NEVROLOGII I PSIKHIATRII IMENI S S KORSAKOVA	ZHURNAL NEVROLOGII I PSIHIATRII IMENI S.S. KORSAKOVA	Partial
