"TI"	"PY"	"AU"	"DEW"	"IDW"	"DES"	"IDS"	"C1W"	"C1"	"C1S"	"DOI"	"SO"	"DT"	"Coder"	"DE"
"\"C3, 4, 5 KEEPS THE DIAPHRAGM ALIVE.\" IS PHRENIC NERVE PALSY PART OF THE PATHOPHYSIOLOGICAL MECHANISM IN STRANGULATION AND HANGING? SHOULD DIAPHRAGM PARALYSIS BE EXCLUDED IN SURVIVED CASES?: A REVIEW OF THE LITERATURE"	2010	"DAVIES SJ"	""	""	"ASPHYXIA;  HANGING;  NECK COMPRESSION;  PHRENIC NERVE;  STRANGULATION"	"ASPHYXIA;BREATHING MUSCLE;DIAPHRAGM PARALYSIS;FORENSIC MEDICINE;HUMAN;INJURY;LUNG FUNCTION TEST;NECK INJURY;PATHOPHYSIOLOGY;PHRENIC NERVE;PHYSIOLOGY;REVIEW;HUMANS;NECK INJURIES;RESPIRATORY MUSCLES;RESPIRATORY PARALYSIS;WORK OF BREATHING"	NA	"FORENSIC PATHOLOGY SERVICES,F5 CULHAM SCIENCE CENTER,ABINGDON,OXFORDSHIRE,OX14 3ED,UNITED KINGDOM"	"FORENSIC PATHOLOGY SERVICES,F5 CULHAM SCIENCE CENTER,ABINGDON,OXFORDSHIRE,OX14 3ED,UNITED KINGDOM"	"10.1097/PAF.0b013e3181c297e1"	"AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY"	"ARTICLE"	"Scopus"	";ASPHYXIA;HANGING;NECK COMPRESSION;PHRENIC NERVE;STRANGULATION"
"\"CSI -VANCOUVER\": A SYNERGISTIC COMBINATION OF TECHNOLOGY, COOPERATION AND DETERMINATION SOLVES A \"STICKY\" CASE"	2007	"WINCHELL P;ALLENDE-GARCIA R;REID D;EDMONDS C"	""	""	""	"ANALYTICAL INSTRUMENTS;ANNUAL MEETINGS;CASE STUDIES;CATALYST PAPERS;CIBA SPECIALTY CHEMICALS;COMMON SOURCES;FT-IR SPECTROSCOPY;HIGH-TECH EQUIPMENTS;PREPRINTS;PROBLEM SOLVERS;PULP AND PAPER TECHNICAL ASSOCIATION OF CANADA;PYROLYSIS-GAS CHROMATOGRAPHY;RECYCLED FIBERS;RECYCLING OPERATIONS;RUNNABILITY;SHEET DEFECTS;TECHNICAL PERSONNEL;TROUBLE SHOOTING;VANCOUVER;CATALYSIS;CHEMICAL REACTIONS;CHROMATOGRAPHIC ANALYSIS;FIBER OPTICS;FOURIER TRANSFORM INFRARED SPECTROSCOPY;GAS CHROMATOGRAPHY;LAW ENFORCEMENT;PAPER AND PULP INDUSTRY;PERSONNEL;PYROLYSIS;RECYCLING;STYRENE;WIRELESS TELECOMMUNICATION SYSTEMS;PAPER SHEETING;CATALYSTS;CHROMATOGRAPHY;INFRARED SPECTROSCOPY;PAPER SHEETS;PULP INDUSTRY;REACTION KINETICS"	NA	"CATALYST PAPER CORPORATION,CROFTON DIVISION; CATALYST PAPER CORPORATION,PORT ALBERNI DIVISION; CATALYST PAPER CORPORATION,PAPER RECYCLING DIVISION; CIBA SPECIALITY CHEMICALS,SUFFOLK,VA,UNITED STATES"	"CATALYST PAPER CORPORATION,CROFTON DIVISION; CATALYST PAPER CORPORATION,PORT ALBERNI DIVISION; CATALYST PAPER CORPORATION,PAPER RECYCLING DIVISION; CIBA SPECIALITY CHEMICALS,SUFFOLK,VA,UNITED STATES"	""	"ANNUAL MEETING OF THE PULP AND PAPER TECHNICAL ASSOCIATION OF CANADA (PAPTAC)"	"CONFERENCE PAPER"	"Scopus"	""
"\"MANJA\" - A DANGEROUS THREAD"	2008	"WANKHEDE AG;SARIYA DR"	""	""	"INCISED WOUND;  KITE-LINE INJURY;  MANJA"	"GLASS;NYLON;ACCIDENT PREVENTION;ACCIDENTAL INJURY;ARTICLE;BANGLADESH;CAUSE OF DEATH;GLOVE;HUMAN;INDIA;INJURY SEVERITY;MATERIAL COATING;MEDICOLEGAL ASPECT;MORTALITY;PAKISTAN;PATHOGENESIS;PROTECTIVE CLOTHING;ACCIDENTS;ASIA;WESTERN;COTTON FIBER;CULTURE;FORENSIC MEDICINE;HUMANS;NYLONS;POWDERS;RECREATION;WOUNDS AND INJURIES"	NA	"INDIRA GANDHI GOVERNMENT MEDICAL COLLEGE,DEPARTMENT OF FORENSIC MEDICINE AND TOXICOLOGY,NAGPUR,MAHARASHTRA STATE 440018,INDIA; WESTERN MEMORIAL REGIONAL HOSPITAL,CORNER BROOK,NFLD. A2H2L3,CANADA"	"INDIRA GANDHI GOVERNMENT MEDICAL COLLEGE,DEPARTMENT OF FORENSIC MEDICINE AND TOXICOLOGY,NAGPUR,MAHARASHTRA STATE 440018,INDIA; WESTERN MEMORIAL REGIONAL HOSPITAL,CORNER BROOK,NFLD. A2H2L3,CANADA"	"10.1016/j.jflm.2007.07.002"	"JOURNAL OF FORENSIC AND LEGAL MEDICINE"	"ARTICLE"	"Scopus"	";INCISED WOUND;KITE-LINE INJURY;MANJA"
"[3H]DIGOXIN IN THE OPTIC TRACT IN DIGOXIN INTOXICATION"	1980	"BINNION PF;FRAZER G"	""	""	"BRAIN;  DIGOXIN;  HYPOKALEMIA;  RETINA;  VISION;  VITREOUS HUMOR"	"DIGOXIN;RADIOISOTOPE;ANIMAL;ARTICLE;BRAIN;DOG;EYE;HYPOKALEMIA;METABOLISM;OPTIC NERVE;PHYSIOLOGY;ANIMAL EXPERIMENT;BLOOD AND HEMOPOIETIC SYSTEM;CHOROID;DIGOXIN H 3;DRUG DISTRIBUTION;DRUG INTOXICATION;HEART;INTOXICATION;OPTIC TRACT;RETINA;VISUAL SYSTEM;VITREOUS BODY;DOGS;SUPPORT;NON-U.S. GOV'T"	NA	"CARDIOLOGY RESEARCH LABORATORY,PENNSYLVANIA HOSPITAL,DREXEL UNIVERSITY,PHILADELPHIA,PA,UNITED STATES; DEPARTMENT OF BIOMEDICAL SCIENCES,UNITED STATES"	"CARDIOLOGY RESEARCH LABORATORY,PENNSYLVANIA HOSPITAL,DREXEL UNIVERSITY,PHILADELPHIA,PA,UNITED STATES; DEPARTMENT OF BIOMEDICAL SCIENCES,UNITED STATES"	"10.1097/00005344-198009000-00018"	"JOURNAL OF CARDIOVASCULAR PHARMACOLOGY"	"ARTICLE"	"Scopus"	";BRAIN;DIGOXIN;HYPOKALEMIA;RETINA;VISION;VITREOUS HUMOR"
"[AGE-RELATED CHANGES IN THE NERVOUS APPARATUS OF THE BLOOD VESSELS IN THE BRAIN AND SPINAL CORD]."	2012	"MOTAVKIN PA;CHERTOK VM;LOMAKIN AV;PIGOLKIN EI"	""	""	""	"ADOLESCENT;ADULT;AGED;AGING;ARTICLE;BIOMETRY;BLOOD VESSEL;BRAIN;CHILD;FORENSIC PATHOLOGY;HUMAN;INFANT;INNERVATION;METHODOLOGY;MIDDLE AGED;NERVE FIBER;PATHOLOGY;PRESCHOOL CHILD;SPINAL CORD;VASCULARIZATION;80 AND OVER;BIOMETRIC IDENTIFICATION;BLOOD VESSELS;PRESCHOOL;HUMANS;NERVE FIBERS;YOUNG ADULT"	NA	"NA"	"NA"	""	"SUDEBNO-MEDITSINSKAIA EKSPERTIZA"	"ARTICLE"	"Scopus"	""
"[CERTAIN ASPECTS OF DIFFUSE AXONAL INJURY TO THE BRAIN IN THE CASE OF HEAD TRAUMA]."	2013	"ROMODANOVSKI PO"	""	""	""	"ANIMAL;DIFFUSE AXONAL INJURY;FORENSIC PATHOLOGY;GLASGOW COMA SCALE;HUMAN;NERVE FIBER;PATHOLOGY;PATHOPHYSIOLOGY;REVIEW;ANIMALS;AXONS;HUMANS"	NA	"NA"	"NA"	""	"SUDEBNO-MEDITSINSKAIA EKSPERTIZA"	"REVIEW"	"Scopus"	""
"[FORENSIC-MEDICAL ASSESSMENT OF PATHOMORPHOLOGICAL CHANGES IN THE MYOCARDIUM IN BLUNT CHEST TRAUMA WITH AN ISOLATED HEART CONTUSION]"	2005	"NOVOSELOV VP;SAVCHENKO SV"	""	""	""	"ADULT;BLUNT TRAUMA;COMPARATIVE STUDY;CONTUSION;ENDOCARDIUM;FEMALE;FORENSIC PATHOLOGY;HEART INJURY;HEART MUSCLE;HEART MUSCLE ISCHEMIA;HUMAN;MALE;MIDDLE AGED;PATHOLOGY;THORAX INJURY;ULTRASTRUCTURE;CONTUSIONS;HEART INJURIES;HUMANS;MYOCARDIAL ISCHEMIA;MYOCARDIUM;THORACIC INJURIES;WOUNDS;NONPENETRATING"	NA	"NA"	"NA"	""	"SUDEBNO-MEDITSINSKAIA EKSPERTIZA"	"ARTICLE"	"Scopus"	""
"[FORENSIC MEDICAL IMPLICATIONS OF HISTOMORPHOLOGICAL CHANGES IN THE BONE AND CARTILAGE TISSUES UNDER EFFECT OF RADIATION]."	2013	"OSIPENKOVA-VICHTOMOVA TK"	""	""	""	"ADOLESCENT;ARTHROPATHY;ARTICLE;BONE;CARTILAGE;CHILD;FEMALE;FORENSIC PATHOLOGY;GAMMA RADIATION;HUMAN;MALE;METHODOLOGY;MIDDLE AGED;PATHOLOGIC FRACTURE;PATHOLOGY;RADIATION EXPOSURE;RADIATION INDUCED NEOPLASM;RADIATION INJURY;RADIATION RESPONSE;TIME;VERY ELDERLY;AGED;80 AND OVER;BONE AND BONES;DOSE-RESPONSE RELATIONSHIP;RADIATION;FRACTURES;SPONTANEOUS;GAMMA RAYS;HUMANS;JOINT DEFORMITIES;ACQUIRED;NEOPLASMS;RADIATION-INDUCED;RADIATION INJURIES;TIME FACTORS"	NA	"NA"	"NA"	""	"SUDEBNO-MEDITSINSKAIA EKSPERTIZA"	"ARTICLE"	"Scopus"	""
"[PMIM]BR@TIO2 NANOCOMPOSITE REINFORCED HOLLOW FIBER SOLID/LIQUID PHASE MICROEXTRACTION: AN EFFECTIVE EXTRACTION TECHNIQUE FOR MEASUREMENT OF BENZODIAZEPINES IN HAIR, URINE AND WASTEWATER SAMPLES COMBINED WITH HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY"	2015	"ES'HAGHI Z;NEZHADALI A;BAHAR S;BANAEI A"	"HOLLOW FIBER; SOLID-LIQUID PHASE MICROEXTRACTION; BENZODIAZEPINE; [PMIM]BR@TIO2; HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY"	"TEMPERATURE IONIC LIQUIDS; TANDEM MASS-SPECTROMETRY; GAS-CHROMATOGRAPHY;; SIMULTANEOUS QUANTIFICATION; FORENSIC TOXICOLOGY; EXPERIMENTAL-DESIGN;; SOL-GEL; TIO2; 1;4-BENZODIAZEPINES; FORMULATIONS"	""	""	"ES'HAGHI, Z (CORRESPONDING AUTHOR), PAYAME NOOR UNIV, DEPT CHEM, TEHRAN 193954697, IRAN; ES'HAGHI, ZARRIN; NEZHADALI, AZIZOLLAH; BAHAR, SHAHRIYAR; BANAEI, ALIREZA, PAYAME NOOR UNIV, DEPT CHEM, TEHRAN 193954697, IRAN; BOHLOOLI, SHAHAB, ARDABIL UNIV MED SCI, SCH PHARM, ARDEBIL 56197, IRAN"	"ES'HAGHI, Z (CORRESPONDING AUTHOR), PAYAME NOOR UNIV, DEPT CHEM, TEHRAN 193954697, IRAN; ES'HAGHI, ZARRIN; NEZHADALI, AZIZOLLAH; BAHAR, SHAHRIYAR; BANAEI, ALIREZA, PAYAME NOOR UNIV, DEPT CHEM, TEHRAN 193954697, IRAN; BOHLOOLI, SHAHAB, ARDABIL UNIV MED SCI, SCH PHARM, ARDEBIL 56197, IRAN"	NA	"10.1016/j.jchromb.2014.12.010"	"JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES"	"ARTICLE"	"WebOfScience"	"HOLLOW FIBER;SOLID-LIQUID PHASE MICROEXTRACTION;BENZODIAZEPINE;[PMIM]BR@TIO2;HIGH-PERFORMANCE LIQUID CHROMATOGRAPHY"
"10 YEARS OF 1:1 TAPING IN BELGIUM - A SELECTION OF MURDER CASES INVOLVING FIBRE EXAMINATION"	2016	"DE WAEL K;LEPOT L;LUNSTROOT K;GASON F"	"1:1 TAPING; TAPE LIFTING; ZONAL TAPING; MICROTRACE RECOVERY; FIBRE; EXAMINATION"	""	"1:1 TAPING;  FIBRE EXAMINATION;  MICROTRACE RECOVERY;  TAPE LIFTING;  ZONAL TAPING"	"BELGIUM;CRIME VICTIM;EXAMINATION;FIBER;FORENSIC IDENTIFICATION;HOMICIDE;HUMAN;OUTCOME VARIABLE;REVIEW;SELECTION BIAS;TAPE LIFTING TECHNIQUE;CLOTHING;FORENSIC MEDICINE;PROCEDURES;CRIME VICTIMS;HUMANS"	"DE WAEL, K (CORRESPONDING AUTHOR), NATL INST CRIMINALISTIEK \& CRIMINOL, FIBRES \& TEXT LAB, VILVOORDSESTEENWEG 100, B-1120 BRUSSELS, BELGIUM; DE WAEL, K; LEPOT, L; LUNSTROOT, K; GASON, F, NATL INST CRIMINALIST \& CRIMINOL, BRUSSELS, BELGIUM"	"NATIONAL INSTITUTE FOR CRIMINALISTICS AND CRIMINOLOGY,BRUSSELS,BELGIUM"	"NATIONAL INSTITUTE FOR CRIMINALISTICS AND CRIMINOLOGY,BRUSSELS,BELGIUM"	"10.1016/j.scijus.2015.07.002"	"SCIENCE AND JUSTICE"	"ARTICLE"	"Scopus,WebOfScience"	"1:1 TAPING;TAPE LIFTING;ZONAL TAPING;MICROTRACE RECOVERY;FIBRE;EXAMINATION;FIBRE EXAMINATION"
