Keywords,Keywords.corrected
ACRYLICS,ACRYLIC
ACRYLIC ACID,ACRYLIC ACID
ACRYLIC ACID COPOLYMER,ACRYLIC ACID
ACRYLIC ACID DERIVATIVE,ACRYLIC ACID
AMPHETAMINES,AMPHETAMINE
AMPHETAMINE-TYPE DRUGS,AMPHETAMINE
AMPHETAMINE-TYPE STIMULANTS,AMPHETAMINE
ANIMALS,ANIMAL
BAYES' FACTOR,BAYESIAN APPROACH
BAYES NETWORK,BAYESIAN APPROACH
BAYES THEOREM,BAYESIAN APPROACH
BAYES' THEOREM,BAYESIAN APPROACH
BAYESIAN,BAYESIAN APPROACH
BAYESIAN FRAMEWORK,BAYESIAN APPROACH
BAYESIAN INFERENCE,BAYESIAN APPROACH
BAYESIAN INTERPRETATION,BAYESIAN APPROACH
BAYESIAN NETWORKS,BAYESIAN APPROACH
INTERPRÉTATION BAYÉSIENNE,BAYESIAN APPROACH
INTERPRETATION OF EXPERT EVIDENCE,
INTERPRETATION OF FIBRE TRANSFER,
LIKELIHOOD RATIO,BAYESIAN APPROACH
LIKELIHOOD RATIO LR,BAYESIAN APPROACH
BLOOD STAINS,BLOOD STAIN
BLOODSTAIN,BLOOD STAIN
BLOODSTAIN CHARACTERISTIC,BLOOD STAIN
BLOODSTAIN PATTERN ANALYSIS,BLOOD STAIN
BLOODSTAINS,BLOOD STAIN
CANNABIS SATIVA,CANNABIS
CANNABIS SATIVA L.,CANNABIS
CHILD,CHILD
"CHILD, PRESCHOOL",CHILD
CHILDREN,CHILD
COLOR,COLOUR 
BLACK COTTON,COTTON
BLUE COTTON,COTTON
COTTON APPAREL FABRICS (T-SHIRTS),COTTON
COTTON FIBER,COTTON
COTTON FIBERS,COTTON
COTTON FIBRES,COTTON
COTTONS,COTTON
GREY COTTON,COTTON
RED COTTON,COTTON
CRIMINALITISTICS,CRIMINALISTICS
DATA BASE,DATA BASE
DATABASE,DATA BASE
DATABASE SEARCH,DATA BASE
DATABASES,DATA BASE
"DATABASES, FACTUAL",DATA BASE
DEVICES,DEVICE
(BLACK) DYES,DYE
DYES,DYE
DYES (BASIC),DYE
TEXTILE DYE,DYE
TEXTILE DYES,DYE
"MICROSCOPY, ELECTRON",ELECTRON MICROSCOPY
"MICROSCOPY, ELECTRON, SCANNING",ELECTRON MICROSCOPY
"MICROSCOPY, ELECTRON, TRANSMISSION",ELECTRON MICROSCOPY
FIBER,FIBRE
FIBERS,FIBRE
FIBRES,FIBRE
FORENSIC SCIENCES,FORENSIC SCIENCE
FOURIER TRANSFORM INFRARED,FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)
