name	Name corrected
AGAPITOS E	AGAPITOS EB
ALBERINK I	ALBERINK IB
ALI TT	ALI LI
ALMIRALL J	ALMIRALL JR
ARREBOLA-LIBANAS J	ARREBOLA-LIBANAS JF
BAES C	BAES CAV
BAI R	BAI R-F
BANFIELD S	BANFIELD SJ
BATCHELDER D	BATCHELDER DN
BDDEKER H	BODDEKER H
BECK K	BECK KR
BIDE M	BIDE MJ
BIERMANN T	BIERMANN TW
BLAKE S	BLAKE SL
BOWEN A	BOWEN AM
BROWN R	BROWN RS
CARR D	CARR DJ
CEAUSU Z	CEAUSU M
COULSON S	COULSON SA
COYLE T	COYLE TJ
DAWSON L	DAWSON LA
DE LA OSSA MAF	DE LA OSSA MAAF
DUAN Y	DUAN Y-J
EHRENREICH T	EHRENREICH T 
FERGUSSON S	FERGUSSON SM
FLORY J	FLORY JF
FURST S	FURST SJ
GASON FGCSJ	GASON F
GRIEVE M	GRIEVE MC
GUAN D	GUAN D-W
GUNNING S	GUNNING SP
HE G	HE G-L
JUNKER H	JUNKER HP
KIESER J	KIESER JA
KUBO S	KUBO S-I
LEIJENHORST H	LEIJENHORST HAL
LI D	LI D-R
LI S	LI S-X
LIM BIN ABDULLAH AF	ABDULLAH AFL
LIU J	LIU J-T
LUO P	LUO P-B
MABBOTT A	MABBOTT AJ
MARKHAM PN	MARHNAM PN
NEIL WADDELL J	WADDELL JN
PALENIK S	PALENIK CS
PASQUALUCCI CA	PASQUALUCCI CAG
PELTON W	PELTON WR
PELUSO J	PELUSO JS
PIGOU P	PIGOU PE
REEDY B	REEDY BJ
REICHARD E	REICHARD EJ
ROBERTS H	ROBERTS HL
RODRGUEZ-CALVO MS	RODRIGUEZ-CALVO MS
RODRGUEZ-RODRGUEZ A	RODRIGUEZ-RODRIGUEZ A
ROUX C	ROUX CP
RUDER T	RUDER TD
RUIFROK A	RUIFROK ACC
SAVERIO ROMOLO F	ROMOLO FS
SHEN Y	SHEN Y-W
STONEY D	STONEY DA
TAYLOR M	TAYLOR MC
TEMPLETON JE	TEMPLETON JEL
THALI M	THALI MJ
THOMPSON R	THOMPSON RC
TRONCOSO J	TRONCOSO JC
VOELCKER N	VOELCKER NH
VOWLES G	VOWLES GH
WANG Z	WANG Z-Y
WANG ZY	WANG Z-Y
WATSON N	WATSON ND
WIGGINS K	WIGGINS KG
XU YC	XU Y-C
YU T	YU T-S
ZHANG H	ZHANG H-D
ZHAO X	ZHAO X-L
ZHAO Z	ZHAO Z-Q
ZHOU Y	ZHOU Y-W
ZHOU YW	ZHOU Y-W
ZIEGAN J	ZIEGAN JB
ARREBOLA-LIEBANAS R	ARREBOLA-LIBANAS JF
BAGULEY BC	BAGULEY BM
BAIKER J	BAIKER M
BARTICK E	BARTICK EG
BARROSO A	BARROSO M
BOTTRILL H	BOTTRILL RS
BLACKMAN K	BLACKMAN CS
BRUN J	BRUN L
BORRAS M	BORRAS D
CEPPAN M	CEPPAN CW
CHURCH SARA E	CHURCH SE
DE LA OSSA MÁF	DE LA OSSA MAF
GARCIÁ-RUIZ C	GARCIA-RUIZ C
GARCÍA-RUIZ C	GARCIA-RUIZ C
GIROUD CH	GIROUD C
GRIGORESCU C-E-A	GRIGORESCU CEA
KONIG H-G	KONIG HG
MENZEL EROLAND	MENZEL ER
NIC DAEID N	DAEID NN
ORTÍZ-REY JA	ORTIZ-REY JA
SUÁREZ-MIER MP	SUAREZ-MIER MP
W?S-GUBA?A J	WAS-GUBALA J
WA?S J	WAS J
WA?S-GUBA?A J	WAS-GUBALA J
WAS-GUBA?A J	WAS-GUBALA J
ZI?BA-PALUS J	ZIEBA-PALUS J
ARREBOLA-LIEBANAS J	ARREBOLA-LIEBANAS JF
BOTTRILL R	BOTTRILL RS
BUTTERWO.A	BUTTERWOTH A
CARSWELL S	CARSWELLL S
COOKS RG	COOK R
KRIER G	KRIEG G
