Keywords	KeywordsCorrected	Acronyms
(BLACK) DYES	DYE	DYE
??PAD	PAD	PAD
?ä-KENDALL RANK CORRELATION COEFFICIENTS	KENDALL RANK CORRELATION COEFFICIENTS	KENDALL RANK CORRELATION COEFFICIENTS
"\5.4\"" HAND GUN"""	\5.4\ HAND GUN	\5.4\ HAND GUN
"2 ,4-DINITROTOLUENE"	"2,4 DINITROTOLUENE"	"2,4 DINITROTOLUENE"
"2,4-DINITROTOLUENE"	"2,4 DINITROTOLUENE"	"2,4 DINITROTOLUENE"
AAS	ATOMIC ABSORPTION SPECTROSCOPY (AAS)	(AAS)
ACRYLIC FIBER	ACRYLIC	ACRYLIC
ACRYLIC FIBERS	ACRYLIC	ACRYLIC
ACRYLIC POLYMERS	ACRYLIC	ACRYLIC
ACRYLICS	ACRYLIC	ACRYLIC
ADHESIVE LIFTS	ADHESIVE LIFTER	ADHESIVE LIFTER
AEROSOLS	AEROSOL	AEROSOL
AIRBAGS	AIRBAG	AIRBAG
AIRBORNE PARTICLES	AIRBORNE PARTICLE	AIRBORNE PARTICLE
ALGORITHMS	ALGORITHM	ALGORITHM
ALIZARIN RED S	ALIZARIN RED S (ARS)	ALIZARIN RED S (ARS)
ALKALOIDS	ALKALOID	ALKALOID
ALLOYS	ALLOY	ALLOY
ALUMINUM	ALUMINIUM (AL)	ALUMINIUM (AL)
AMMUNITIONS	AMMUNITION	AMMUNITION
ANIMALS	ANIMAL	ANIMAL
ANIONS	ANION	ANION
ANTIMONY	ANTIMONY (SB)	ANTIMONY (SB)
ANTIMONY 121	ANTIMONY (SB)	ANTIMONY (SB)
ARTIFACTS	ARTIFACT	ARTIFACT
ATOM-ABSORPTIONS-SPEKTROPHOTOMETRIE	ATOMIC ABSORPTION SPECTROSCOPY (AAS)	(AAS)
ATOMIC ABSORPTION SPECTROMETRY	ATOMIC ABSORPTION SPECTROSCOPY (AAS)	(AAS)
ATOMIC ABSORPTION SPECTROMETRY (AAS)	ATOMIC ABSORPTION SPECTROSCOPY (AAS)	(AAS)
ATOMIC ABSORPTION SPECTROPHOTOMETRY	ATOMIC ABSORPTION SPECTROSCOPY (AAS)	(AAS)
ATOMIC ABSORPTION SPECTROSCOPY	ATOMIC ABSORPTION SPECTROSCOPY (AAS)	(AAS)
ATOMIC EMISSION SPECTROMETRY	ATOMIC ABSORPTION SPECTROSCOPY (AAS)	(AAS)
ATOMIC EMISSION SPECTROSCOPY	ATOMIC ABSORPTION SPECTROSCOPY (AAS)	(AAS)
BACK SCATTERED ELECTRON (BSE) SIGNAL	BACKSCATTERED ELECTRON DETECTOR	BACKSCATTERED ELECTRON DETECTOR
BACK SPATTER	BACKSCATTER	BACKSCATTER
BACKSCATTER ELECTRON DETECTOR SYSTEM	BACKSCATTERED ELECTRON DETECTOR	BACKSCATTERED ELECTRON DETECTOR
BACK-SCATTERED	BACKSCATTER	BACKSCATTER
BACKSPATTER	BACKSCATTER	BACKSCATTER
BALLISTICS	BALLISTIC	BALLISTIC
BARIUM	BARIUM (BA)	BARIUM (BA)
BARIUM 137	BARIUM (BA)	BARIUM (BA)
BAYES THEOREM	BAYESIAN APPROACH	BAYESIAN APPROACH
BAYES' THEOREM	BAYESIAN APPROACH	BAYESIAN APPROACH
BAYES' THEOREM	BAYES THEOREM	BAYES THEOREM
BAYESIAN	BAYESIAN APPROACH	BAYESIAN APPROACH
BAYESIAN INTERPRETATION	BAYESIAN APPROACH	BAYESIAN APPROACH
BIRDS	BIRD	BIRD
