name	Name.Corrected
ARTICLE MEETING ABSTRACT	MEETING ABSTRACT
ARTICLE CONFERENCE PAPER	CONFERENCE PAPER
ARTICLE NOTE	NOTE
ARTICLE REVIEW	REVIEW
EDITORIAL MATERIAL	EDITORIAL
EDITORIAL MATERIAL ARTICLE	EDITORIAL
EDITORIAL MATERIAL NOTE	EDITORIAL
EDITORIAL MATERIAL; BOOK CHAPTER BOOK CHAPTER	EDITORIAL
NOTE ARTICLE	NOTE
PROCEEDINGS ARTICLE	PROCEEDINGS
PROCEEDINGS CONFERENCE PAPER	CONFERENCE PAPER
REVIEW ARTICLE	REVIEW
ARTICLE; BOOK CHAPTER	BOOK CHAPTER
ARTICLE; PROCEEDINGS PAPER	PROCEEDINGS PAPER
EDITORIAL MATERIAL; BOOK CHAPTER	EDITORIAL
