Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Author Keywords,Index Keywords,ID,Document Type,Publication Stage,Access Type,Source,EID,Coder
"Peets P., Leito I., Pelt J., Vahur S.",57163902600;6701397469;7004114545;16029804600;,Identification and classification of textile fibres using ATR-FT-IR spectroscopy with chemometric methods,2017,Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy,173,,,175,181,,25,10.1016/j.saa.2016.09.007,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987898699&doi=10.1016%2fj.saa.2016.09.007&partnerID=40&md5=06e1220d13dd4468c05b5ecef07aa4b1,"University of Tartu, Institute of Chemistry, 14a Ravila str, Tartu, 50411, Estonia; Tartu Observatory, Tõravere, 61602, Estonia","Peets, P., University of Tartu, Institute of Chemistry, 14a Ravila str, Tartu, 50411, Estonia; Leito, I., University of Tartu, Institute of Chemistry, 14a Ravila str, Tartu, 50411, Estonia; Pelt, J., Tartu Observatory, Tõravere, 61602, Estonia; Vahur, S., University of Tartu, Institute of Chemistry, 14a Ravila str, Tartu, 50411, Estonia",ATR-FT-IR spectroscopy; Classification; Discriminant analysis; Fibres; Principal component analysis; Textiles,Chromatography; Classification (of information); Cotton; Discriminant analysis; Fibers; Flax; Linen; Silk; Spacecraft instruments; Spectrum analysis; Textile blends; Textile fibers; Textiles; Wool; Yarn; ATR FT-IR spectroscopies; Chemometric method; Content determination; Principal Components; Semi-quantitative analysis; Single components; Structural inhomogeneities; Textile materials; Principal component analysis,,Article,Final,,Scopus,2-s2.0-84987898699,2019
"Muehlethaler C., Leona M., Lombardi J.R.",36990536700;57204298589;7007059776;,Towards a validation of surface-enhanced Raman scattering (SERS) for use in forensic science: repeatability and reproducibility experiments,2016,Forensic Science International,268,,,1,13,,21,10.1016/j.forsciint.2016.09.005,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988405290&doi=10.1016%2fj.forsciint.2016.09.005&partnerID=40&md5=fc2d3a656cf4bd1e1d2b1a541291a76a,"The Metropolitan Museum of Art, Department of Scientific Research, New York, United States; The City College of New York and Graduate Center of the City University of New York, Department of Chemistry, United States","Muehlethaler, C., The Metropolitan Museum of Art, Department of Scientific Research, New York, United States, The City College of New York and Graduate Center of the City University of New York, Department of Chemistry, United States; Leona, M., The Metropolitan Museum of Art, Department of Scientific Research, New York, United States; Lombardi, J.R., The City College of New York and Graduate Center of the City University of New York, Department of Chemistry, United States",Crystal violet; Methamphetamine; multivariate statistics; Nanoparticles; Silver colloids; TNT,crystal violet; methamphetamine; trinitrotoluene; analytic method; Article; binding affinity; forensic science; measurement accuracy; priority journal; qualitative analysis; quantitative analysis; Raman spectrometry; reproducibility; validation study,,Article,Final,,Scopus,2-s2.0-84988405290,2019
"Meyer L., MacDonald S., Skinner R.",,Cotton and Wool Outlook,2008,Cotton and Wool Outlook,,,,,,,15,,,,"Meyer, L.; MacDonald, S.; Skinner, R.",,,,,Final,,Scopus,2-s2.0-84879460485,2019
"França de Sá S., Ferreira J.L., Matos A.S., Macedo R., Ramos A.M.",57192250582;35480164500;25029796200;56682160100;7401770048;,A new insight into polyurethane foam deterioration – the use of Raman microscopy for the evaluation of long-term storage conditions,2016,Journal of Raman Spectroscopy,47,12,,1494,1504,,11,10.1002/jrs.4984,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85001968803&doi=10.1002%2fjrs.4984&partnerID=40&md5=bc5c2ed312198162f5b82fb02b649adb,"Departamento de Conservação e Restauro, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal; LAQV-REQUIMTE, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal; Instituto de História da Arte, Faculdade de Ciências Sociais e Humanas, Universidade NOVA de Lisboa, Avenida de Berna, 26-C, Lisbon, 1069-061, Portugal; UNIDEMI, Departamento de Engenharia Mecânica e Industrial, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal","França de Sá, S., Departamento de Conservação e Restauro, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal, LAQV-REQUIMTE, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal; Ferreira, J.L., Departamento de Conservação e Restauro, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal, LAQV-REQUIMTE, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal; Matos, A.S., UNIDEMI, Departamento de Engenharia Mecânica e Industrial, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal; Macedo, R., Departamento de Conservação e Restauro, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal, Instituto de História da Arte, Faculdade de Ciências Sociais e Humanas, Universidade NOVA de Lisboa, Avenida de Berna, 26-C, Lisbon, 1069-061, Portugal; Ramos, A.M., Departamento de Conservação e Restauro, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal, LAQV-REQUIMTE, Faculdade de Ciências e Tecnologia, Universidade NOVA de Lisboa, Caparica, 2829-516, Portugal",conservation; long-term storage conditions; polyether-based polyurethane foam; Raman microscopy,,,Article,Final,,Scopus,2-s2.0-85001968803,2019
"Bitzer S., Heudt L., Barret A., George L., Van Dijk K., Gason F., Renard B.",56667447600;35080364900;57192374385;57196478893;57196481705;14038614100;56049681400;,The introduction of forensic advisors in Belgium and their role in the criminal justice system,2018,Science and Justice,58,3,,177,184,,9,10.1016/j.scijus.2017.11.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85033558005&doi=10.1016%2fj.scijus.2017.11.002&partnerID=40&md5=7d31bef64a3d725e007310565c210231,"National Institute for Criminalistics and Criminology, Department of Criminology, Boulevard du Jardin Botanique 50, 1000, Brussels, Belgium; National Institute for Criminalistics and Criminology, Department of Criminalistics, Chaussée de Vilvorde 100, Brussels, 1120, Belgium","Bitzer, S., National Institute for Criminalistics and Criminology, Department of Criminology, Boulevard du Jardin Botanique 50, 1000, Brussels, Belgium; Heudt, L., National Institute for Criminalistics and Criminology, Department of Criminalistics, Chaussée de Vilvorde 100, Brussels, 1120, Belgium; Barret, A., National Institute for Criminalistics and Criminology, Department of Criminalistics, Chaussée de Vilvorde 100, Brussels, 1120, Belgium; George, L., National Institute for Criminalistics and Criminology, Department of Criminalistics, Chaussée de Vilvorde 100, Brussels, 1120, Belgium; Van Dijk, K., National Institute for Criminalistics and Criminology, Department of Criminalistics, Chaussée de Vilvorde 100, Brussels, 1120, Belgium; Gason, F., National Institute for Criminalistics and Criminology, Department of Criminalistics, Chaussée de Vilvorde 100, Brussels, 1120, Belgium; Renard, B., National Institute for Criminalistics and Criminology, Department of Criminology, Boulevard du Jardin Botanique 50, 1000, Brussels, Belgium",Communication; Cost-effectiveness; Decision-making; Forensic generalist; Triaging,Belgium; cost effectiveness analysis; criminal justice; criminology; decision making; human; sexual assault; article; homicide,,Article,Final,,Scopus,2-s2.0-85033558005,2019
"Nizio K.D., Ueland M., Stuart B.H., Forbes S.L.",55005740100;55832747800;7102231958;7102524526;,The analysis of textiles associated with decomposing remains as a natural training aid for cadaver-detection dogs,2017,Forensic Chemistry,5,,,33,45,,8,10.1016/j.forc.2017.06.002,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021134261&doi=10.1016%2fj.forc.2017.06.002&partnerID=40&md5=dc09abb1e8682fb966d28c4ea9e71303,"University of Technology Sydney, Centre for Forensic Science, PO Box 123, Ultimo, NSW  2007, Australia","Nizio, K.D., University of Technology Sydney, Centre for Forensic Science, PO Box 123, Ultimo, NSW  2007, Australia; Ueland, M., University of Technology Sydney, Centre for Forensic Science, PO Box 123, Ultimo, NSW  2007, Australia; Stuart, B.H., University of Technology Sydney, Centre for Forensic Science, PO Box 123, Ultimo, NSW  2007, Australia; Forbes, S.L., University of Technology Sydney, Centre for Forensic Science, PO Box 123, Ultimo, NSW  2007, Australia",Buried remains; Cadaver-detection dogs; Forensic taphonomy; GC×GC-TOFMS; Natural training aids; Textiles,,,Article,Final,,Scopus,2-s2.0-85021134261,2019
"Sauzier G., Reichard E., van Bronswijk W., Lewis S.W., Goodpaster J.V.",55600124800;57192437463;35587577900;7404038754;55912901600;,Improving the confidence of “questioned versus known” fiber comparisons using microspectrophotometry and chemometrics,2016,Forensic Chemistry,2,,,15,21,,8,10.1016/j.forc.2016.08.001,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85006494099&doi=10.1016%2fj.forc.2016.08.001&partnerID=40&md5=6686e3a3584d0b6a9c373643faa17def,"Department of Chemistry, Curtin University, GPO Box U1987, Perth, Western Australia  6845, Australia; Nanochemistry Research Institute, Curtin University, GPO Box U1987, Perth, Western Australia  6845, Australia; Department of Chemistry and Chemical Biology, Indiana University Purdue University Indianapolis, Indianapolis, IN  46202, United States","Sauzier, G., Department of Chemistry, Curtin University, GPO Box U1987, Perth, Western Australia  6845, Australia, Nanochemistry Research Institute, Curtin University, GPO Box U1987, Perth, Western Australia  6845, Australia; Reichard, E., Department of Chemistry and Chemical Biology, Indiana University Purdue University Indianapolis, Indianapolis, IN  46202, United States; van Bronswijk, W., Department of Chemistry, Curtin University, GPO Box U1987, Perth, Western Australia  6845, Australia; Lewis, S.W., Department of Chemistry, Curtin University, GPO Box U1987, Perth, Western Australia  6845, Australia, Nanochemistry Research Institute, Curtin University, GPO Box U1987, Perth, Western Australia  6845, Australia; Goodpaster, J.V., Department of Chemistry and Chemical Biology, Indiana University Purdue University Indianapolis, Indianapolis, IN  46202, United States",Chemometrics; Forensic science; Microspectrophotometry; Textile fibers,,,Article,Final,,Scopus,2-s2.0-85006494099,2019
"Robertson J., Roux C., Wiggins K.G.",7404531595;7202017940;7003873724;,Forensic examination of fibres: Third edition,2017,Forensic Examination of Fibres: Third Edition,,,,1,465,,7,10.1201/9781315156583,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042000756&doi=10.1201%2f9781315156583&partnerID=40&md5=6b2474fd0513896b21c68ac66d9af3e2,"National Centre for Forensic Studies (NCFS), University of Canberra, Australia; University of Lausanne, Switzerland; Metropolitan Police Forensic Science Laboratory (MPFSL), London, United Kingdom","Robertson, J., National Centre for Forensic Studies (NCFS), University of Canberra, Australia; Roux, C., University of Lausanne, Switzerland; Wiggins, K.G., Metropolitan Police Forensic Science Laboratory (MPFSL), London, United Kingdom",,,,Book,Final,,Scopus,2-s2.0-85042000756,2019
"Biedermann A., Champod C., Willis S.",,Development of European standards for evaluative reporting in forensic science: The gap between intentions and perceptions,2017,International Journal of Evidence & Proof,21,01-Feb,,14,29,,7,,,,"Biedermann, A.; Champod, C.; Willis, S.",,,,,Final,,Scopus,2-s2.0-85047870492,2019
"Palmer R., Sheridan K., Puckett J., Richardson N., Lo W.",55636317627;56526564900;57195619101;57195618026;57195619504;,An investigation into secondary transfer—The transfer of textile fibres to seats,2017,Forensic Science International,278,,,334,337,,7,10.1016/j.forsciint.2017.07.035,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029313283&doi=10.1016%2fj.forsciint.2017.07.035&partnerID=40&md5=123650b8f807e159be7d3c82a70e1e79,"The Forensic Science Unit, Faculty of Health and Life Sciences, Northumbria University, Ellison Building, Newcastle Upon Tyne, United Kingdom","Palmer, R., The Forensic Science Unit, Faculty of Health and Life Sciences, Northumbria University, Ellison Building, Newcastle Upon Tyne, United Kingdom; Sheridan, K., The Forensic Science Unit, Faculty of Health and Life Sciences, Northumbria University, Ellison Building, Newcastle Upon Tyne, United Kingdom; Puckett, J., The Forensic Science Unit, Faculty of Health and Life Sciences, Northumbria University, Ellison Building, Newcastle Upon Tyne, United Kingdom; Richardson, N., The Forensic Science Unit, Faculty of Health and Life Sciences, Northumbria University, Ellison Building, Newcastle Upon Tyne, United Kingdom; Lo, W., The Forensic Science Unit, Faculty of Health and Life Sciences, Northumbria University, Ellison Building, Newcastle Upon Tyne, United Kingdom",Fibres; Interpretation; Persistence; Seats; Secondary transfer,polyester; Article; clothing; controlled study; cotton; crime; experimental design; forensic identification; legal evidence; priority journal; seat; textile fiber; time factor,,Article,Final,,Scopus,2-s2.0-85029313283,2019
