Title	ACRYLIC	ANALYSIS	BAYESIAN APPROACH	BLOOD	CAPILLARY ELECTROPHORESIS (CE)	CLOTHING	COLOUR	COMPARISON	COTTON	CRIMINALISTIC	DATABASE	DEGRADATION	DICHROISM	DISPERSE DYES	DYE	EVIDENTIAL VALUE	FIBRE	FIBRE ANALYSIS	FIBRE EVIDENCE	FIBRE EXAMINATION	FIBRE IDENTIFICATION	FIBRE RECOVERY	FIBRE TRANSFER	FINGERPRINTS	FLUORESCENCE	FORENSIC ANALYSIS	FORENSIC SCIENCE	FOURIER-TRANSFORM INFRARED SPECTROSCOPY (FT-IR)	FREQUENCY	GAS CHROMATOGRAPHY–MASS SPECTROMETRY (GC–MS)	HAIR	HOLLOW-FIBRE LIQUID-PHASE MICROEXTRACTION (HF-LPME)	IDENTIFICATION	INFRARED	INFRARED SPECTROSCOPY (IR)	INK	INTERPRETATION	LIKELIHOOD RATIO	MASS SPECTROMETRY (MS)	MICROSCOPY	MICROSPECTROPHOTOMETRY (MSP)	PAINT	PERSISTENCE	PIGMENTS	POLARIZED LIGHT MICROSCOPY	POLYESTER	PRINCIPAL COMPONENT ANALYSIS (PCA)	RAMAN	REACTIVE DYE	RECOVERY	SCANNING ELECTRON MICROSCOPY (SEM)	SINGLE FIBRE	SOIL	SPECTROPHOTOMETRY	SPECTROSCOPY	STATISTICS	SYNTHETIC FIBRE	TARGET FIBRE STUDY	TEXTILE	TEXTILE FIBRE	THIN-LAYER CHROMATOGRAPHY (TLC)	TRACE EVIDENCE	TRANSFER	URINE	VISCOSE	WOOL
10 YEARS OF 1:1 TAPING IN BELGIUM - A SELECTION OF MURDER CASES INVOLVING FIBRE EXAMINATION	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10 YEARS OF 1:1 TAPING IN BELGIUM - A SELECTION OF MURDER CASES INVOLVING FIBRE EXAMINATION	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10 YEARS OF 1:1 TAPING IN BELGIUM - A SELECTION OF MURDER CASES INVOLVING FIBRE EXAMINATION	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10 YEARS OF 1:1 TAPING IN BELGIUM - A SELECTION OF MURDER CASES INVOLVING FIBRE EXAMINATION	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10 YEARS OF 1:1 TAPING IN BELGIUM - A SELECTION OF MURDER CASES INVOLVING FIBRE EXAMINATION	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10 YEARS OF 1:1 TAPING IN BELGIUM - A SELECTION OF MURDER CASES INVOLVING FIBRE EXAMINATION	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
10 YEARS OF 1:1 TAPING IN BELGIUM - A SELECTION OF MURDER CASES INVOLVING FIBRE EXAMINATION	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A COMPARISON OF EFFICIENCY OF MANUAL AND AUTOMATIC FIBRES SEARCH WITH THE MAXCAN FIBRE FINDER	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A COMPARISON OF EFFICIENCY OF MANUAL AND AUTOMATIC FIBRES SEARCH WITH THE MAXCAN FIBRE FINDER	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A COMPARISON OF EFFICIENCY OF MANUAL AND AUTOMATIC FIBRES SEARCH WITH THE MAXCAN FIBRE FINDER	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
