"TI"	"PY"	"AU"	"AIKW"	"IDW"	"AIKS"	"IDS"	"C1W"	"C1S"	"DOI"	"SO"	"DT"	"AIK"
"10 YEARS OF 1:1 TAPING IN BELGIUM - A SELECTION OF MURDER CASES INVOLVING FIBRE EXAMINATION"	2016	"DE WAEL K;LEPOT L;LUNSTROOT K;GASON F"	"1:1 TAPING; TAPE LIFTING; ZONAL TAPING; MICROTRACE RECOVERY; FIBRE; EXAMINATION"	""	"1:1 TAPING;  FIBRE EXAMINATION;  MICROTRACE RECOVERY;  TAPE LIFTING;  ZONAL TAPING"	"BELGIUM;CRIME VICTIM;EXAMINATION;FIBER;FORENSIC IDENTIFICATION;HOMICIDE;HUMAN;OUTCOME VARIABLE;REVIEW;SELECTION BIAS;TAPE LIFTING TECHNIQUE;CLOTHING;FORENSIC MEDICINE;PROCEDURES;CRIME VICTIMS;HUMANS"	"DE WAEL, K (REPRINT AUTHOR), NATL INST CRIMINALISTIEK \& CRIMINOL, FIBRES \& TEXT LAB, VILVOORDSESTEENWEG 100, B-1120 BRUSSELS, BELGIUM; DE WAEL, K; LEPOT, L; LUNSTROOT, K; GASON, F, NATL INST CRIMINALIST \& CRIMINOL, BRUSSELS, BELGIUM"	"NATIONAL INSTITUTE FOR CRIMINALISTICS AND CRIMINOLOGY,BRUSSELS,BELGIUM"	"10.1016/j.scijus.2015.07.002"	"SCIENCE AND JUSTICE"	"REVIEW ARTICLE"	"1:1 TAPING;TAPE LIFTING;ZONAL TAPING;MICROTRACE RECOVERY;FIBRE;EXAMINATION;FIBRE EXAMINATION"
"A COMPARISON OF EFFICIENCY OF MANUAL AND AUTOMATIC FIBRES SEARCH WITH THE MAXCAN FIBRE FINDER"	2006	"SERMIER FM;MASSONNET G;BUZZINI P;FORTINI A;GASON F;DE WAEL K;ROVAS P"	""	""	"AUTOMATIC SEARCH;  FIBRE FINDER;  FIBRES;  FIBRES RECOVERY"	"ARTICLE;FIBER;FORENSIC IDENTIFICATION;FORENSIC MEDICINE;INTERMETHOD COMPARISON;LABORATORY APPARATUS;EQUIPMENT AND SUPPLIES;LABORATORY AUTOMATION;LABORATORY TEST;PARAMETER;PRIORITY JOURNAL"	NA	"ECOLE DE SCIENCES CRIMINELLES,INSTITUT DE POLICE SCIENTIFIQUE,UNIVERSITY OF LAUSANNE,CH-1015 DORIGNY,SWITZERLAND; INSTITUT NATIONAL DE CRIMINALISTIQUE ET DE CRIMINOLOGIE,MINISTRE DE LA JUSTICE,CHAUSSE DE VILVORDE 98-100,B-1120 BRUXELLES,BELGIUM; KESKUSRIKOSPOLIISI,NATIONAL BUREAU OF INVESTIGATION,JOKINIEMENKUJA 4,FIN-01301 VANTAA,FINLAND"	"10.1016/j.forsciint.2005.08.015"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	";AUTOMATIC SEARCH;FIBRE FINDER;FIBRES;FIBRES RECOVERY"
"A COMPARISON OF PENETRATION AND DAMAGE CAUSED BY DIFFERENT TYPES OF ARROWHEADS ON LOOSE AND TIGHT FIT CLOTHING"	2018	"MACPHEE N;SAVAGE A;NOTON N;BEATTIE E;MILNE L;FRASER J"	"ARROW; PENETRATION; DAMAGE; CLOTHING; TISSUES; BONES"	"WOUNDS; BOW"	"ARROW;  BONES;  CLOTHING;  DAMAGE;  PENETRATION;  TISSUES"	"GELATIN;ARROW;ARTICLE;BALLISTICS;BLUNT TRAUMA;BONE MATRIX;COMPARATIVE STUDY;FEMUR;PENETRATING TRAUMA;RIB;SOFT TISSUE;SOFT TISSUE INJURY;SPINE;SURFACE AREA;WEAPON;X RAY;X-RAY COMPUTED TOMOGRAPHY;BIOLOGICAL MODEL;BONE;CLOTHING;DIAGNOSTIC IMAGING;EQUIPMENT DESIGN;FORENSIC MEDICINE;HUMAN;INJURIES;MICRO-COMPUTED TOMOGRAPHY;PATHOLOGY;THREE DIMENSIONAL IMAGING;BONE AND BONES;HUMANS;IMAGING;THREE-DIMENSIONAL;MODELS;BIOLOGICAL;WEAPONS;WOUNDS;PENETRATING;X-RAY MICROTOMOGRAPHY"	"FRASER, J (REPRINT AUTHOR), ABERTAY UNIV, 40 BELL STR, DUNDEE DD1 1HG, SCOTLAND; MACPHEE, NICHOLE; SAVAGE, ANNE; NOTON, NIKOLAS; BEATTIE, EILIDH; MILNE, LOUISE; FRASER, JOANNA, ABERTAY UNIV, 40 BELL STR, DUNDEE DD1 1HG, SCOTLAND"	"ABERTAY UNIVERSITY,40 BELL STREET,DUNDEE,DD1 1HG,UNITED KINGDOM"	"10.1016/j.scijus.2017.11.005"	"SCIENCE AND JUSTICE"	"ARTICLE"	"ARROW;PENETRATION;DAMAGE;CLOTHING;TISSUES;BONES"
"A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS - A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING PART 3: THE CONTENT OF THE DATA BANK - IS IT REPRESENTATIVE?"	1998	"BIERMANN TW;GRIEVE MC"	"TEXTILES; CLOTHING; FIBRE COMPOSITION; FREQUENCY; DATA BANK; REPRESENTATIVITY"	""	"CLOTHING;  DATA BANK;  FIBRE COMPOSITION;  FREQUENCY;  REPRESENTATIVITY;  TEXTILES"	"ARTICLE;DATA BASE;PRIORITY JOURNAL;TEXTILE"	"BIERMANN, TW (REPRINT AUTHOR), BUNDESKRIMINALAMT, KT 33 TEXTILKUNDE, THAERSTR 11, D-65193 WIESBADEN, GERMANY; BUNDESKRIMINALAMT, KT 33 TEXTILKUNDE, D-65193 WIESBADEN, GERMANY"	"KT 33 TEXTILKUNDE,BUNDESKRIMINALAMT,THAERSTRASSE 11,65193 WIESBADEN,GERMANY"	"10.1016/S0379-0738(98)00090-5"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"TEXTILES;CLOTHING;FIBRE COMPOSITION;FREQUENCY;DATA BANK;REPRESENTATIVITY"
"A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS: A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING. PART 1: THE SYSTEM AND ITS OPERATION"	1996	"BIERMANN TW;GRIEVE MC"	""	""	"DATA BANK;  FIBRE COMPOSITION;  FIBRE FREQUENCY;  TEXTILES"	"ARTICLE;CLOTHING;COMPUTER PROGRAM;DATA BASE;FORENSIC SCIENCE;GERMANY;INFORMATION PROCESSING;PRIORITY JOURNAL;TEXTILE"	NA	"KT 33 TEXTILKUNDE,BUNDESKRIMINALAMT,THAERSTRASSE 11,65193 WIESBADEN,GERMANY"	"10.1016/0379-0738(95)01856-5"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	";DATA BANK;FIBRE COMPOSITION;FIBRE FREQUENCY;TEXTILES"
"A FLOWCHART SYSTEM FOR THE IDENTIFICATION OF COMMON SYNTHETIC FIBERS BY POLARIZED LIGHT MICROSCOPY"	1996	"STOEFFLER SF"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBERS; FIBER IDENTIFICATION; POLARIZED LIGHT MICROSCOPY"	""	"CRIMINALISTICS;  FIBER IDENTIFICATION;  FIBERS;  FORENSIC SCIENCE;  POLARIZED LIGHT MICROSCOPY"	"ARTICLE;CLASSIFICATION;DIAGNOSTIC VALUE;FIBER;FORENSIC IDENTIFICATION;MICROSCOPY;POLARIMETRY;PRACTICE GUIDELINE;PRIORITY JOURNAL"	"STOEFFLER, SF (REPRINT AUTHOR), MICHIGAN STATE POLICE FORENS LAB,42145 W 7 MILE RD,NORTHVILLE,MI 48167, USA"	"LABORATORY SCIENTIST,MICHIGAN STATE POLICE FORENSIC LAB.,NORTHVILLE,MI,UNITED STATES; MICHIGAN STATE POLICE FORENSIC LAB.,42145 WEST SEVEN MILE ROAD,MI 48167,UNITED STATES"	"10.1520/JFS15430J 10.1520/jfs15430j"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"FORENSIC SCIENCE;CRIMINALISTICS;FIBERS;FIBER IDENTIFICATION;POLARIZED LIGHT MICROSCOPY"
"A FURTHER LOOK AT RAMAN SPECTROSCOPY FOR THE FORENSIC EXAMINATION OF FIBRES"	2003	"THOMAS J;BUZZINI P;ROUX CP;REEDY BJ"	"FIBER; RAMAN; COTTON"	""	""	""	"UNIV TECHNOL SYDNEY, CTR FORENS SCI, BROADWAY, NSW 2007, AUSTRALIA; UNIV LAUSANNE, INST POLICE SCI \& CRIMINOL, CH-1015 LAUSANNE, SWITZERLAND"	NA	""	"FORENSIC SCIENCE INTERNATIONAL"	"MEETING ABSTRACT"	"FIBER;RAMAN;COTTON"
"A FURTHER STUDY OF DYE BATCH VARIATION IN TEXTILE AND CARPET FIBRES"	2005	"WIGGINS KG;HOLNESS JA"	"FORENSIC SCIENCE; DYE BATCH VARIATION; FIBRE; COMPARISON MICROSCOPY; VISIBLE LIGHT MICROSPECTROPHOTOMETRY; UV MICROSPECTROPHOTOMETRY; THIN; LAYER CHROMATOGRAPHY"	""	"COMPARISON MICROSCOPY;  DYE BATCH VARIATION;  FIBRE;  FORENSIC SCIENCE;  THIN LAYER CHROMATOGRAPHY;  UV MICROSPECTROPHOTOMETRY;  VISIBLE LIGHT MICROSPECTROPHOTOMETRY"	"ACRYLIC ACID;DYE;NYLON;ARTICLE;CARPET FIBER;DYE BATCH VARIATION;FIBER;FLUORESCENCE;MICROSCOPY;MICROSPECTROPHOTOMETRY;QUALITY CONTROL;TEXTILE FIBER;THIN LAYER CHROMATOGRAPHY;ULTRAVIOLET SPECTROPHOTOMETRY"	"WIGGINS, K (REPRINT AUTHOR), LONDON LAB, FORENS SCI SERV, 109 LAMBERTH RD, LONDON SE1 7LP, ENGLAND; LONDON LAB, FORENS SCI SERV, LONDON SE1 7LP, ENGLAND"	"FORENSIC SCIENCE SERVICE,LONDON LABORATORY,109 LAMBETH ROAD,LONDON SE1 7LP,UNITED KINGDOM"	"10.1016/S1355-0306(05)71634-8"	"SCIENCE AND JUSTICE - JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"ARTICLE"	"FORENSIC SCIENCE;DYE BATCH VARIATION;FIBRE;COMPARISON MICROSCOPY;VISIBLE LIGHT MICROSPECTROPHOTOMETRY;UV MICROSPECTROPHOTOMETRY;THIN;LAYER CHROMATOGRAPHY;THIN LAYER CHROMATOGRAPHY"
"A METHOD OF ASSESSING THE FIBRE SHEDDING POTENTIAL OF FABRICS"	1992	"COXON A;GRIEVE MC;DUNLOP J"	""	""	"FIBRE TRANSFER AND RETENTION;  SHEDDING POTENTIAL"	"ACRYLIC ACID DERIVATIVE;ADHESIVE AGENT;NYLON;ARTICLE;CLOTHING;COTTON;FIBER;LIFE;MATERIALS;METHODOLOGY;SIMULATION;WOOL"	NA	"USACIL-EUROPE,BETTS AREA 272,FRIEDBERGER LANDSTRASSE,FRANKFURT/MAIN,GERMANY"	"10.1016/S0015-7368(92)73064-3"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"NOTE"	";FIBRE TRANSFER AND RETENTION;SHEDDING POTENTIAL"
"A MORE EFFICIENT METHOD FOR SYNTHETIC TEXTILE FIBER ANALYSIS USING POLARIZED LIGHT MICROSCOPY"	2020	"REFFNER JA;KAMMRATH BW;KAPLAN S"	"FORENSIC SCIENCE; FIBER IDENTIFICATION; MICROSCOPY; POLARIZED LIGHT; MICROSCOPY; REFRACTIVE INDEX; EFFICIENCY"	""	"EFFICIENCY;  FIBER IDENTIFICATION;  FORENSIC SCIENCE;  MICROSCOPY;  POLARIZED LIGHT MICROSCOPY;  REFRACTIVE INDEX"	"NA"	"REFFNER, JA (REPRINT AUTHOR), CUNY JOHN JAY COLL CRIMINAL JUSTICE, 524 WEST 59TH ST, NEW YORK, NY 10019 USA; REFFNER, JOHN A; KAPLAN, SAMUEL, CUNY JOHN JAY COLL CRIMINAL JUSTICE, 524 WEST 59TH ST, NEW YORK, NY 10019 USA; KAMMRATH, BROOKE W, UNIV NEW HAVEN, 300 BOSTON POST RD, WEST HAVEN, CT 06516 USA"	"JOHN JAY COLLEGE OF CRIMINAL JUSTICE,CITY UNIVERSITY OF NEW YORK,524 WEST 59TH STREET,NEW YORK,NY  10019,UNITED STATES; UNIVERSITY OF NEW HAVEN,300 BOSTON POST RD,WEST HAVEN,CT  06516,UNITED STATES"	"10.1111/1556-4029.14252"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"FORENSIC SCIENCE;FIBER IDENTIFICATION;MICROSCOPY;POLARIZED LIGHT;REFRACTIVE INDEX;EFFICIENCY;POLARIZED LIGHT MICROSCOPY"
