raw.x	raw.y
2014 OCEANS - ST. JOHN'S	"2014 OCEANS - ST. JOHN'S, OCEANS 2014"
BIOTECHNIC \& HISTOCHEMISTRY	BIOTECHNIC AND HISTOCHEMISTRY
CLINICAL COSMETIC AND INVESTIGATIONAL DERMATOLOGY	"CLINICAL, COSMETIC AND INVESTIGATIONAL DERMATOLOGY"
DARU-JOURNAL OF PHARMACEUTICAL SCIENCES	"DARU, JOURNAL OF PHARMACEUTICAL SCIENCES"
FIBRES \& TEXTILES IN EASTERN EUROPE	FIBRES AND TEXTILES IN EASTERN EUROPE
IFAC PAPERSONLINE	IFAC-PAPERSONLINE
JOURNAL OF ARCHAEOLOGICAL SCIENCE-REPORTS	JOURNAL OF ARCHAEOLOGICAL SCIENCE: REPORTS
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS	JOURNAL OF THE ROYAL STATISTICAL SOCIETY. SERIES C: APPLIED STATISTICS
JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS	JOURNAL OF THE ROYAL STATISTICAL SOCIETY. SERIES C: APPLIED STATISTICS
PIPELINES 2017: CONSTRUCTION AND REHABILITATION	PIPELINES 2017: CONSTRUCTION AND REHABILITATION - PROCEEDINGS OF SESSIONS OF THE PIPELINES 2017 CONFERENCE
WILEY INTERDISCIPLINARY REVIEWS-DATA MINING AND KNOWLEDGE DISCOVERY	WILEY INTERDISCIPLINARY REVIEWS: DATA MINING AND KNOWLEDGE DISCOVERY
ZHURNAL NEVROLOGII I PSIKHIATRII IMENI S S KORSAKOVA	ZHURNAL NEVROLOGII I PSIHIATRII IMENI S.S. KORSAKOVA
PROMET-TRAFFIC \& TRANSPORTATION	PROMET-TRAFFIC AND TRANSPORTATION
NUCLEAR INSTRUMENTS \& METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS	NUCLEAR INSTRUMENTS AND METHODS IN PHYSICS RESEARCH SECTION B-BEAM INTERACTIONS WITH MATERIALS AND ATOMS
MUSCLE \& NERVE	MUSCLE AND NERVE
LOOKING AT PAPER: EVIDENCE \& INTERPRETATION	LOOKING AT PAPER: EVIDENCE AND INTERPRETATION
"ITC\&DC: 5TH INTERNATIONAL TEXTILE, CLOTHING \& DESIGN CONFERENCE 2010, BOOK OF PROCEEDINGS: MAGIC WORLD OF TEXTILES"	"ITCANDDC: 5TH INTERNATIONAL TEXTILE, CLOTHING AND DESIGN CONFERENCE 2010, BOOK OF PROCEEDINGS: MAGIC WORLD OF TEXTILES"
"ITC\&DC: 4TH INTERNATIONAL TEXTILE CLOTHING \& DESIGN CONFERENCE, BOOK OF PROCEEDINGS: MAGIC WORLD OF TEXTILES"	"ITCANDDC: 4TH INTERNATIONAL TEXTILE CLOTHING AND DESIGN CONFERENCE, BOOK OF PROCEEDINGS: MAGIC WORLD OF TEXTILES"
ENVIRONMENTAL SCIENCE \& TECHNOLOGY	ENVIRONMENTAL SCIENCE AND TECHNOLOGY
BIOTECHNIC \& HISTOCHEMISTRY	BIOTECHNIC AND HISTOCHEMISTRY
BASIC \&  CLINICAL PHARMACOLOGY \& TOXICOLOGY	BASIC AND CLINICAL PHARMACOLOGY AND TOXICOLOGY
"2003 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH, AND SIGNAL PROCESSING, VOL II, PROCEEDINGS: SPEECH II; INDUSTRY TECHNOLOGY TRACKS; DESIGN \& IMPLEMENTATION OF SIGNAL PROCESSING SYSTEMS; NEURAL NETWORKS FOR SIGNAL PROCESSING"	"2003 IEEE INTERNATIONAL CONFERENCE ON ACOUSTICS, SPEECH, AND SIGNAL PROCESSING, VOL II, PROCEEDINGS: SPEECH II; INDUSTRY TECHNOLOGY TRACKS; DESIGN AND IMPLEMENTATION OF SIGNAL PROCESSING SYSTEMS; NEURAL NETWORKS FOR SIGNAL PROCESSING"
SCIENCE \& JUSTICE	SCIENCE AND JUSTICE
LC GC EUROPE	LC-GC EUROPE
