raw.x	raw.x.Corrected	raw.y	pass
3D VIEW ON THE `CROSSING LINES' PROBLEM IN DOCUMENT INVESTIGATION	A 3D VIEW ON THE `CROSSING LINES' PROBLEM IN DOCUMENT INVESTIGATION	A 3D VIEW ON THE 'CROSSING LINES' PROBLEM IN DOCUMENT INVESTIGATION	Partial
A COMPARISON BETWEEN RIB FRACTURE PATTERNS IN PEN- AND POST-MORTEM COMPRESSIVE INJURY IN A PIGLET MODEL	A COMPARISON BETWEEN RIB FRACTURE PATTERNS IN PEN- AND POST-MORTEM COMPRESSIVE INJURY IN A PIGLET MODEL	A COMPARISON BETWEEN RIB FRACTURE PATTERNS IN PERI- AND POST-MORTEM COMPRESSIVE INJURY IN A PIGLET MODEL	Partial
A COMPLEMENTARY FORENSIC `PROTEO-GENOMIC' APPROACH FOR THE DIRECT IDENTIFICATION OF BIOLOGICAL FLUID TRACES UNDER FINGERNAILS	A COMPLEMENTARY FORENSIC `PROTEO-GENOMIC' APPROACH FOR THE DIRECT IDENTIFICATION OF BIOLOGICAL FLUID TRACES UNDER FINGERNAILS	A COMPLEMENTARY FORENSIC PROTEO-GENOMIC APPROACH FOR THE DIRECT IDENTIFICATION OF BIOLOGICAL FLUID TRACES UNDER FINGERNAILS	Partial
A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS - A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING PART 3: THE CONTENT OF THE DATA BANK - IS IT REPRESENTATIVE?	A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS - A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING PART 3: THE CONTENT OF THE DATA BANK - IS IT REPRESENTATIVE?	A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS - A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING. PART 3: THE CONTENT OF THE DATA BANK - IS IT REPRESENTATIVE?	Partial
A FIBER DATA-COLLECTION FOR FORENSIC SCIENTISTS - COLLECTION AND EXAMINATION METHODS	A FIBER DATA-COLLECTION FOR FORENSIC SCIENTISTS - COLLECTION AND EXAMINATION METHODS	A FIBER DATA COLLECTION FOR FORENSIC SCIENTISTS - COLLECTION AND EXAMINATION METHODS	Partial
A NEW APPROACH TO FORENSIC ANALYSIS WITH INFRARED MICROSCOPY - INTERNAL-REFLECTION SPECTROSCOPY	A NEW APPROACH TO FORENSIC ANALYSIS WITH INFRARED MICROSCOPY - INTERNAL-REFLECTION SPECTROSCOPY	A NEW APPROACH TO FORENSIC ANALYSIS WITH INFRARED MICROSCOPY: INTERNAL REFLECTION SPECTROSCOPY	Partial
A NEW APPROACH TO THE MICROSCOPICAL EXAMINATION AND COMPARISON OF SYNTHETIC-FIBERS ENCOUNTERED IN FORENSIC-SCIENCE CASES	A NEW APPROACH TO THE MICROSCOPICAL EXAMINATION AND COMPARISON OF SYNTHETIC-FIBERS ENCOUNTERED IN FORENSIC-SCIENCE CASES	A NEW APPROACH TO THE MICROSCOPICAL EXAMINATION AND COMPARISON OF SYNTHETIC FIBERS ENCOUNTERED IN FORENSIC SCIENCE CASES	Partial
A NEW MOUNTING MEDIUM FOR THE FORENSIC MICROSCOPY OF TEXTILE FIBERS	A NEW MOUNTING MEDIUM FOR THE FORENSIC MICROSCOPY OF TEXTILE FIBERS	A NEW MOUNTING MEDIUM FOR THE FORENSIC MICROSCOPY OF TEXTILE FIBRES	Partial
A NOVEL TECHNIQUE FOR THE COLLECTION AND RECOVERY OF FOREIGN FIBERS IN FORENSIC-SCIENCE CASEWORK	A NOVEL TECHNIQUE FOR THE COLLECTION AND RECOVERY OF FOREIGN FIBERS IN FORENSIC-SCIENCE CASEWORK	A NOVEL TECHNIQUE FOR THE COLLECTION AND RECOVERY OF FOREIGN FIBERS IN FORENSIC SCIENCE CASEWORK	Partial
A REVIEW OF THE APPLICATION OF HOLLOW-FIBER LIQUID-PHASE MICROEXTRACTION IN BIOANALYTICAL METHODS - A SYSTEMATIC APPROACH WITH FOCUS ON FORENSIC TOXICOLOGY	A REVIEW OF THE APPLICATION OF HOLLOW-FIBER LIQUID-PHASE MICROEXTRACTION IN BIOANALYTICAL METHODS - A SYSTEMATIC APPROACH WITH FOCUS ON FORENSIC TOXICOLOGY	A REVIEW OF THE APPLICATION OF HOLLOW-FIBER LIQUID-PHASE MICROEXTRACTION IN BIOANALYTICAL METHODS A SYSTEMATIC APPROACH WITH FOCUS ON FORENSIC TOXICOLOGY	Partial
