"TI"	"PY"	"AU"	"AIKW"	"IDW"	"AIKS"	"IDS"	"C1W"	"C1"	"C1S"	"DOI"	"SO"	"DT"	"Coder"	"AIK"
"A COMPARISON OF EFFICIENCY OF MANUAL AND AUTOMATIC FIBRES SEARCH WITH THE MAXCAN FIBRE FINDER"	2006	"SERMIER FM;MASSONNET G;BUZZINI P;FORTINI A;GASON F;DE WAEL K;ROVAS P"	""	""	"AUTOMATIC SEARCH;  FIBRE FINDER;  FIBRES;  FIBRES RECOVERY"	"ARTICLE;FIBER;FORENSIC IDENTIFICATION;FORENSIC MEDICINE;INTERMETHOD COMPARISON;LABORATORY APPARATUS;EQUIPMENT AND SUPPLIES;LABORATORY AUTOMATION;LABORATORY TEST;PARAMETER;PRIORITY JOURNAL"	NA	"ECOLE DE SCIENCES CRIMINELLES,INSTITUT DE POLICE SCIENTIFIQUE,UNIVERSITY OF LAUSANNE,CH-1015 DORIGNY,SWITZERLAND; INSTITUT NATIONAL DE CRIMINALISTIQUE ET DE CRIMINOLOGIE,MINISTRE DE LA JUSTICE,CHAUSSE DE VILVORDE 98-100,B-1120 BRUXELLES,BELGIUM; KESKUSRIKOSPOLIISI,NATIONAL BUREAU OF INVESTIGATION,JOKINIEMENKUJA 4,FIN-01301 VANTAA,FINLAND"	"ECOLE DE SCIENCES CRIMINELLES,INSTITUT DE POLICE SCIENTIFIQUE,UNIVERSITY OF LAUSANNE,CH-1015 DORIGNY,SWITZERLAND; INSTITUT NATIONAL DE CRIMINALISTIQUE ET DE CRIMINOLOGIE,MINISTRE DE LA JUSTICE,CHAUSSE DE VILVORDE 98-100,B-1120 BRUXELLES,BELGIUM; KESKUSRIKOSPOLIISI,NATIONAL BUREAU OF INVESTIGATION,JOKINIEMENKUJA 4,FIN-01301 VANTAA,FINLAND"	"10.1016/j.forsciint.2005.08.015"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus"	";AUTOMATIC SEARCH;FIBRE FINDER;FIBRES;FIBRES RECOVERY"
"A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS - A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING PART 3: THE CONTENT OF THE DATA BANK - IS IT REPRESENTATIVE?"	1998	"BIERMANN TW;GRIEVE MC"	"TEXTILES; CLOTHING; FIBRE COMPOSITION; FREQUENCY; DATA BANK; REPRESENTATIVITY"	""	"CLOTHING;  DATA BANK;  FIBRE COMPOSITION;  FREQUENCY;  REPRESENTATIVITY;  TEXTILES"	"ARTICLE;DATA BASE;PRIORITY JOURNAL;TEXTILE"	"BIERMANN, TW (CORRESPONDING AUTHOR), BUNDESKRIMINALAMT, KT 33 TEXTILKUNDE, THAERSTR 11, D-65193 WIESBADEN, GERMANY; BUNDESKRIMINALAMT, KT 33 TEXTILKUNDE, D-65193 WIESBADEN, GERMANY"	"KT 33 TEXTILKUNDE,BUNDESKRIMINALAMT,THAERSTRASSE 11,65193 WIESBADEN,GERMANY"	"KT 33 TEXTILKUNDE,BUNDESKRIMINALAMT,THAERSTRASSE 11,65193 WIESBADEN,GERMANY"	"10.1016/S0379-0738(98)00090-5"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus,WebOfScience"	"TEXTILES;CLOTHING;FIBRE COMPOSITION;FREQUENCY;DATA BANK;REPRESENTATIVITY"
"A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS: A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING. PART 1: THE SYSTEM AND ITS OPERATION"	1996	"BIERMANN TW;GRIEVE MC"	""	""	"DATA BANK;  FIBRE COMPOSITION;  FIBRE FREQUENCY;  TEXTILES"	"ARTICLE;CLOTHING;COMPUTER PROGRAM;DATA BASE;FORENSIC SCIENCE;GERMANY;INFORMATION PROCESSING;PRIORITY JOURNAL;TEXTILE"	NA	"KT 33 TEXTILKUNDE,BUNDESKRIMINALAMT,THAERSTRASSE 11,65193 WIESBADEN,GERMANY"	"KT 33 TEXTILKUNDE,BUNDESKRIMINALAMT,THAERSTRASSE 11,65193 WIESBADEN,GERMANY"	"10.1016/0379-0738(95)01856-5"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus"	";DATA BANK;FIBRE COMPOSITION;FIBRE FREQUENCY;TEXTILES"
"A FLOWCHART SYSTEM FOR THE IDENTIFICATION OF COMMON SYNTHETIC FIBERS BY POLARIZED LIGHT MICROSCOPY"	1996	"STOEFFLER SF"	"FORENSIC SCIENCE; CRIMINALISTICS; FIBERS; FIBER IDENTIFICATION; POLARIZED LIGHT MICROSCOPY"	""	"CRIMINALISTICS;  FIBER IDENTIFICATION;  FIBERS;  FORENSIC SCIENCE;  POLARIZED LIGHT MICROSCOPY"	"ARTICLE;CLASSIFICATION;DIAGNOSTIC VALUE;FIBER;FORENSIC IDENTIFICATION;MICROSCOPY;POLARIMETRY;PRACTICE GUIDELINE;PRIORITY JOURNAL"	"STOEFFLER, SF (CORRESPONDING AUTHOR), MICHIGAN STATE POLICE FORENS LAB,42145 W 7 MILE RD,NORTHVILLE,MI 48167, USA"	"LABORATORY SCIENTIST,MICHIGAN STATE POLICE FORENSIC LAB.,NORTHVILLE,MI,UNITED STATES; MICHIGAN STATE POLICE FORENSIC LAB.,42145 WEST SEVEN MILE ROAD,MI 48167,UNITED STATES"	"LABORATORY SCIENTIST,MICHIGAN STATE POLICE FORENSIC LAB.,NORTHVILLE,MI,UNITED STATES; MICHIGAN STATE POLICE FORENSIC LAB.,42145 WEST SEVEN MILE ROAD,MI 48167,UNITED STATES"	"10.1520/jfs15430j 10.1520/JFS15430J"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE;CRIMINALISTICS;FIBERS;FIBER IDENTIFICATION;POLARIZED LIGHT MICROSCOPY"
"A FURTHER LOOK AT RAMAN SPECTROSCOPY FOR THE FORENSIC EXAMINATION OF FIBRES"	2003	"THOMAS J;BUZZINI P;ROUX CP;REEDY BJ"	"FIBER; RAMAN; COTTON"	""	""	""	"UNIV TECHNOL SYDNEY, CTR FORENS SCI, BROADWAY, NSW 2007, AUSTRALIA; UNIV LAUSANNE, INST POLICE SCI \& CRIMINOL, CH-1015 LAUSANNE, SWITZERLAND"	"UNIV TECHNOL SYDNEY, CTR FORENS SCI, BROADWAY, NSW 2007, AUSTRALIA; UNIV LAUSANNE, INST POLICE SCI \& CRIMINOL, CH-1015 LAUSANNE, SWITZERLAND"	NA	""	"FORENSIC SCIENCE INTERNATIONAL"	"MEETING ABSTRACT"	"WebOfScience"	"FIBER;RAMAN;COTTON"
"A METHOD OF ASSESSING THE FIBRE SHEDDING POTENTIAL OF FABRICS"	1992	"COXON A;GRIEVE MC;DUNLOP J"	""	""	"FIBRE TRANSFER AND RETENTION;  SHEDDING POTENTIAL"	"ACRYLIC ACID DERIVATIVE;ADHESIVE AGENT;NYLON;ARTICLE;CLOTHING;COTTON;FIBER;LIFE;MATERIALS;METHODOLOGY;SIMULATION;WOOL"	NA	"USACIL-EUROPE,BETTS AREA 272,FRIEDBERGER LANDSTRASSE,FRANKFURT/MAIN,GERMANY"	"USACIL-EUROPE,BETTS AREA 272,FRIEDBERGER LANDSTRASSE,FRANKFURT/MAIN,GERMANY"	"10.1016/S0015-7368(92)73064-3"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"NOTE"	"Scopus"	";FIBRE TRANSFER AND RETENTION;SHEDDING POTENTIAL"
"A NEW METHOD FOR FIBER COMPARISON USING POLARIZED INFRARED MICROSPECTROSCOPY"	1999	"CHO L;REFFNER JA;GATEWOOD BM;WETZEL DL;CHO LL"	"FORENSIC SCIENCE CRIMINALISTICS; FIBER; POLYESTER; INFRARED MICROSCOPY; POLARIZED INFRARED SPECTROSCOPY; DICHROISM; FOURIER TRANSFORM INFRARED; MICROSPECTROSCOPY; TEXTILE; SINGLE-FIBER ANALYSIS"	"ORIENTATION"	"DICHROISM;  FIBER;  FORENSIC SCIENCE CRIMINALISTICS;  FOURIER TRANSFORM INFRARED MICROSPECTROSCOPY;  INFRARED MICROSCOPY;  POLARIZED INFRARED SPECTROSCOPY;  POLYESTER;  SINGLE-FIBER ANALYSIS;  TEXTILE"	"POLYESTER;ACCURACY;ARTICLE;CHEMICAL STRUCTURE;INFRARED SPECTROSCOPY;INTERMETHOD COMPARISON;MATERIALS TESTING;PRIORITY JOURNAL;RADIATION ABSORPTION;SPECTRAL SENSITIVITY;TEXTILE"	"WETZEL, DL (CORRESPONDING AUTHOR), KANSAS STATE UNIV, MICROBEAM MOL SPECT LAB, SHELLENBERGER HALL, MANHATTAN, KS 66506 USA; KANSAS STATE UNIV, MICROBEAM MOL SPECT LAB, MANHATTAN, KS 66506 USA; SPECTRA TECH INC, SHELTON, CT 06484 USA; KANSAS STATE UNIV, CLOTHING TEXT \& INTERIOR DESIGN DEPT, MANHATTAN, KS 66506 USA"	"KANSAS STATE UNIVERSITY,MICROBEAM MOLEC. SPECTROSC. LAB.,SHELLENBERGER HALL,MANHATTAN,KS 66506,UNITED STATES; SPECTRA-TECH INC.,2 RESEARCH DRIVE,SHELTON,CT 06484,UNITED STATES; KANSAS STATE UNIVERSITY,CLOTHING,TEXTILES INTERIOR DES. D.,JUSTIN HALL,UNITED STATES"	"KANSAS STATE UNIVERSITY,MICROBEAM MOLEC. SPECTROSC. LAB.,SHELLENBERGER HALL,MANHATTAN,KS 66506,UNITED STATES; SPECTRA-TECH INC.,2 RESEARCH DRIVE,SHELTON,CT 06484,UNITED STATES; KANSAS STATE UNIVERSITY,CLOTHING,TEXTILES INTERIOR DES. D.,JUSTIN HALL,UNITED STATES"	"10.1520/jfs14452j"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCE CRIMINALISTICS;FIBER;POLYESTER;INFRARED MICROSCOPY;POLARIZED INFRARED SPECTROSCOPY;DICHROISM;FOURIER TRANSFORM INFRARED;MICROSPECTROSCOPY;TEXTILE;SINGLE-FIBER ANALYSIS;FOURIER TRANSFORM INFRARED MICROSPECTROSCOPY"
"A NEW METHOD FOR THE REMOVAL AND ANALYSIS OF SMALL PARTICLES ADHERING TO CARPET FIBER SURFACES"	2013	"BOWEN AM;STONEY DA"	"FORENSIC SCIENCES; TRACE EVIDENCE; FIBERS; DUST; SCANNING ELECTRON; MICROSCOPY; PARTICLE COMBINATION ANALYSIS"	""	"DUST;  FIBERS;  FORENSIC SCIENCES;  PARTICLE COMBINATION ANALYSIS;  SCANNING ELECTRON MICROSCOPY;  TRACE EVIDENCE"	"NA"	"BOWEN, A (CORRESPONDING AUTHOR), US POSTAL INSPECT SERV, NATL FORENS LAB, 22433 RANDOLPH DR, DULLES, VA 20104 USA; BOWEN, ANDREW; STONEY, DAVID, STONEY FORENS INC, CHANTILLY, VA 20151 USA"	"STONEY FORENSIC,INC.,14101 WILLARD ROAD,SUITE G,CHANTILLY,VA,UNITED STATES; U.S. POSTAL INSPECTION SERVICE,NATIONAL FORENSIC LABORATORY,22433 RANDOLPH DRIVE,DULLES,UNITED STATES"	"STONEY FORENSIC,INC.,14101 WILLARD ROAD,SUITE G,CHANTILLY,VA,UNITED STATES; U.S. POSTAL INSPECTION SERVICE,NATIONAL FORENSIC LABORATORY,22433 RANDOLPH DRIVE,DULLES,UNITED STATES"	"10.1111/1556-4029.12071"	"JOURNAL OF FORENSIC SCIENCES"	"ARTICLE"	"Scopus,WebOfScience"	"FORENSIC SCIENCES;TRACE EVIDENCE;FIBERS;DUST;SCANNING ELECTRON;MICROSCOPY;PARTICLE COMBINATION ANALYSIS;SCANNING ELECTRON MICROSCOPY"
"A PRACTICAL ASPECT OF THE BAYESIAN INTERPRETATION OF FIBRE EVIDENCE"	1992	"GRIEVE MC;DUNLOP J"	""	""	"BAYESIAN INTERPRETATION;  FIBRE FREQUENCY;  FIBRES"	"ACCURACY;ANALYTIC METHOD;ASSAY;BAYES THEOREM;CLOTHING;CONFERENCE PAPER;FIBER;RECIPIENT"	NA	"USACIL-EUROPE,BETTS AREA 272,FRIEDBERGER LANDSTRASSE,6,FRANKFURT,GERMANY"	"USACIL-EUROPE,BETTS AREA 272,FRIEDBERGER LANDSTRASSE,6,FRANKFURT,GERMANY"	"10.1016/S0015-7368(92)73066-7"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"NOTE"	"Scopus"	";BAYESIAN INTERPRETATION;FIBRE FREQUENCY;FIBRES"
"A PRELIMINARY INVESTIGATION OF TEXTILE FIBERS IN SMOTHERING SCENARIOS AND ALTERNATIVE LEGITIMATE ACTIVITIES"	2017	"SCHNEGG M;TURCHANY M;DEVITERNE M;GUEISSAZ L;HESS S;MASSONNET G"	"1:1 TAPING; FIBER DISTRIBUTION; FIBER TRANSFER; FORENSIC INTERPRETATION; TRACE EVIDENCE"	"SIMULATED CONTACTS; CLOTHING MATERIALS; PERSISTENCE; WEAR; SEATS"	"1:1 TAPING;  FIBER DISTRIBUTION;  FIBER TRANSFER;  FORENSIC INTERPRETATION;  TRACE EVIDENCE"	"ADULT;ARTICLE;CONTROLLED STUDY;CRIMINAL BEHAVIOR;FACE;FEMALE;FRICTION;GENERAL DEVICE;HOMICIDE;HUMAN;HUMAN EXPERIMENT;MALE;NIGHT SLEEP;PILLOW;PRIORITY JOURNAL;SIMULATION;SMOTHERING;SUFFOCATION;TEXTILE FIBER;VICTIM;YOUNG ADULT"	"SCHNEGG, M (CORRESPONDING AUTHOR), UNIL BATOCHIM, ECOLE SCI CRIMINELLES, CH-1015 LAUSANNE, SWITZERLAND; SCHNEGG, MICHAEL; TURCHANY, MORGANE; DEVITERNE, MARIE; GUEISSAZ, LINE; MASSONNET, GENEVIEVE, UNIV LAUSANNE, SCH CRIMINAL JUSTICE, BATOCHIM, CH-1015 LAUSANNE, SWITZERLAND; HESS, SABINE, FORENS INST ZURICH, ZEUGHAUSSTR 11, CH-8004 ZURICH, SWITZERLAND"	"UNIVERSITY OF LAUSANNE,SCHOOL OF CRIMINAL JUSTICE,BATOCHIME  DORIGNY,LAUSANNE,CH-1015,SWITZERLAND; FORENSISCHES INSTITUT ZRICH,ZEUGHAUSSTRASSE 11,ZRICH,CH-8004,SWITZERLAND"	"UNIVERSITY OF LAUSANNE,SCHOOL OF CRIMINAL JUSTICE,BATOCHIME  DORIGNY,LAUSANNE,CH-1015,SWITZERLAND; FORENSISCHES INSTITUT ZRICH,ZEUGHAUSSTRASSE 11,ZRICH,CH-8004,SWITZERLAND"	"10.1016/j.forsciint.2017.08.020"	"FORENSIC SCIENCE INTERNATIONAL"	"ARTICLE"	"Scopus,WebOfScience"	"1:1 TAPING;FIBER DISTRIBUTION;FIBER TRANSFER;FORENSIC INTERPRETATION;TRACE EVIDENCE"
