"Authors"	"Title"	"Year"	"AKeywords"	"Source.title"	"DOI"	"Document.Type"	"Link"	"Coder"
"WIGGINS KG"	"The European Fibres Group (EFG) 1993-2002: \"Understanding and improving the evidential value of fibres\""	2003	"Colour; European Fibres Group; Evidential value; Fibre; Interpretation; Research and development"	"Analytical and Bioanalytical Chemistry"	"10.1007/s00216-003-1997-8"	"Review"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-9744235683&doi=10.1007%2fs00216-003-1997-8&partnerID=40&md5=4228edb04f70325950a5df396ea38c56"	2004
NA	NA	2001	NA	"Proceedings of the 9th European Fibres Group meeting, Vantaa, Finland, 2001"	NA	"Proceedings papers"	NA	2004
NA	NA	2002	NA	"Proceedings of the 10th European Fibres Group meeting, Rosny-sous-bois, France, 2002"	NA	"Proceedings papers"	NA	2004
NA	NA	2003	NA	"Proceedings of the 11th European Fibres Group meeting, Istanbul, Turkey, 2003."	NA	"Proceedings papers"	NA	2004
NA	NA	2001	NA	"European Fibres Group. Manual of Best Practice for the Forensic Examination of Fibres. 2001"	NA	"Manual"	NA	2004
NA	"Scientific Working Group for Materials Analysis (SWGMAT)"	1999	NA	"Forensic Fiber Examination Guidelines. Forensic Science Communications"	NA	"Manual"	NA	2004
NA	"Scientific Working Group for Materials Analysis (SWGMAT)"	2004	NA	"A Forensic Fiber Examiner Training Program"	NA	"Manual"	NA	2004
"WIGGINS KG"	"Forensic textile fiber examination across the USA and Europe"	2001	"EFG; Equipment; Fiber; Forensic science; Laboratories; Methodology; Surveys; SWGMAT"	"Journal of Forensic Sciences"	NA	"Article"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034762849&partnerID=40&md5=266ab54e14aafc53fe96f637b5e20223"	2004
"GRIEVE MC; WIGGINS KG"	"Fibers under fire: Suggestions for improving their use to provide forensic evidence"	2001	"Comparison; Criminalistics; Evidential value; Examination; Fiber frequency; Fibers; Forensic science; Fourier Transform Infrared-microscopy microspectrophotometry; Sampling"	"Journal of Forensic Sciences"	NA	"Conference Material"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034961302&partnerID=40&md5=5514f4088eb90b6ff16e21f81d5f5d4f"	2004
"GRIEVE MC"	"The changing face of fibre examinations in forensic science"	2002	"Development; Fibres examination"	"Z Zagadnien Nauk Sadowych"	NA	"Conference Material"	"https://www.scopus.com/inward/record.uri?eid=2-s2.0-0038335996&partnerID=40&md5=f8a2e7848a54831f91c2c73263d5e47b"	2004
"BIERMANN TW; GRIEVE MC"	"Die Zukunft der forensischen Faseranalyse"	2001	"Traces containing DNA – versus fibre traces; fibre analysis; forensic"	"Kriminalistik"	NA	NA	NA	2004
