"TI"	"PY"	"AU"	"DOI"	"IDW"	"IDS"	"C1W"	"C1S"	"Coder"	"DT"	"SO"	"AK"
"10 YEARS OF 1:1 TAPING IN BELGIUM - A SELECTION OF MURDER CASES INVOLVING FIBRE EXAMINATION"	2016	"DE WAEL K;LEPOT L;LUNSTROOT K;GASON F"	"10.1016/j.scijus.2015.07.002"	""	"BELGIUM;  CRIME VICTIM;  EXAMINATION;  FIBER;  FORENSIC IDENTIFICATION;  HOMICIDE;  HUMAN;  OUTCOME VARIABLE;  REVIEW;  SELECTION BIAS;  TAPE LIFTING TECHNIQUE;  CLOTHING;  FORENSIC MEDICINE;  PROCEDURES; CLOTHING;  CRIME VICTIMS;  HUMANS"	"DE WAEL, K (CORRESPONDING AUTHOR), NATL INST CRIMINALISTIEK \& CRIMINOL, FIBRES \& TEXT LAB, VILVOORDSESTEENWEG 100, B-1120 BRUSSELS, BELGIUM; DE WAEL, K; LEPOT, L; LUNSTROOT, K; GASON, F, NATL INST CRIMINALIST \& CRIMINOL, BRUSSELS, BELGIUM"	"NATIONAL INSTITUTE FOR CRIMINALISTICS AND CRIMINOLOGY, BRUSSELS, BELGIUM"	"Scopus,WebOfScience"	"ARTICLE"	"SCIENCE AND JUSTICE"	"1:1 TAPING;TAPE LIFTING;ZONAL TAPING;MICROTRACE RECOVERY;FIBRE;EXAMINATION;FIBRE EXAMINATION"
"A COMPARISON OF EFFICIENCY OF MANUAL AND AUTOMATIC FIBRES SEARCH WITH THE MAXCAN FIBRE FINDER"	2006	"SERMIER FM;MASSONNET G;BUZZINI P;FORTINI A;GASON F;DE WAEL K;ROVAS P"	"10.1016/j.forsciint.2005.08.015"	""	"ARTICLE;  FIBER;  FORENSIC IDENTIFICATION;  FORENSIC MEDICINE;  INTERMETHOD COMPARISON;  LABORATORY APPARATUS; EQUIPMENT AND SUPPLIES;  LABORATORY AUTOMATION;  LABORATORY TEST;  PARAMETER;  PRIORITY JOURNAL"	""	"ECOLE DE SCIENCES CRIMINELLES, INSTITUT DE POLICE SCIENTIFIQUE, UNIVERSITY OF LAUSANNE, CH-1015 DORIGNY, SWITZERLAND;INSTITUT NATIONAL DE CRIMINALISTIQUE ET DE CRIMINOLOGIE, MINISTRE DE LA JUSTICE, CHAUSSE DE VILVORDE 98-100, B-1120 BRUXELLES, BELGIUM;KESKUSRIKOSPOLIISI, NATIONAL BUREAU OF INVESTIGATION, JOKINIEMENKUJA 4, FIN-01301 VANTAA, FINLAND"	"Scopus"	"ARTICLE"	"FORENSIC SCIENCE INTERNATIONAL"	"AUTOMATIC SEARCH;FIBRE FINDER;FIBRES;FIBRES RECOVERY"
"A COMPARISON OF PENETRATION AND DAMAGE CAUSED BY DIFFERENT TYPES OF ARROWHEADS ON LOOSE AND TIGHT FIT CLOTHING"	2018	"MACPHEE N;SAVAGE A;NOTON N;BEATTIE E;MILNE L;FRASER J"	"10.1016/j.scijus.2017.11.005"	"WOUNDS; BOW"	"GELATIN; ARROW;  ARTICLE;  BALLISTICS;  BLUNT TRAUMA;  BONE MATRIX;  COMPARATIVE STUDY;  FEMUR;  PENETRATING TRAUMA;  RIB;  SOFT TISSUE;  SOFT TISSUE INJURY;  SPINE;  SURFACE AREA;  WEAPON;  X RAY;  X-RAY COMPUTED TOMOGRAPHY;  BIOLOGICAL MODEL;  BONE;  CLOTHING;  DIAGNOSTIC IMAGING;  EQUIPMENT DESIGN;  FORENSIC MEDICINE;  HUMAN;  INJURIES;  MICRO-COMPUTED TOMOGRAPHY;  PATHOLOGY;  THREE DIMENSIONAL IMAGING; BONE AND BONES;  GELATIN;  HUMANS;  IMAGING; THREE-DIMENSIONAL;  MODELS; BIOLOGICAL;  WEAPONS;  WOUNDS; PENETRATING;  X-RAY MICROTOMOGRAPHY"	"FRASER, J (CORRESPONDING AUTHOR), ABERTAY UNIV, 40 BELL STR, DUNDEE DD1 1HG, SCOTLAND; MACPHEE, NICHOLE; SAVAGE, ANNE; NOTON, NIKOLAS; BEATTIE, EILIDH; MILNE, LOUISE; FRASER, JOANNA, ABERTAY UNIV, 40 BELL STR, DUNDEE DD1 1HG, SCOTLAND"	"ABERTAY UNIVERSITY, 40 BELL STREET, DUNDEE, DD1 1HG, UNITED KINGDOM"	"Scopus,WebOfScience"	"ARTICLE"	"SCIENCE AND JUSTICE"	"ARROW;PENETRATION;DAMAGE;CLOTHING;TISSUES;BONES"
"A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS - A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING PART 3: THE CONTENT OF THE DATA BANK - IS IT REPRESENTATIVE?"	1998	"BIERMANN TW;GRIEVE MC"	"10.1016/S0379-0738(98)00090-5"	""	"ARTICLE;  DATA BASE;  PRIORITY JOURNAL;  TEXTILE"	"BIERMANN, TW (CORRESPONDING AUTHOR), BUNDESKRIMINALAMT, KT 33 TEXTILKUNDE, THAERSTR 11, D-65193 WIESBADEN, GERMANY; BUNDESKRIMINALAMT, KT 33 TEXTILKUNDE, D-65193 WIESBADEN, GERMANY"	"KT 33 TEXTILKUNDE, BUNDESKRIMINALAMT, THAERSTRASSE 11, 65193 WIESBADEN, GERMANY"	"Scopus,WebOfScience"	"ARTICLE"	"FORENSIC SCIENCE INTERNATIONAL"	"TEXTILES;CLOTHING;FIBRE COMPOSITION;FREQUENCY;DATA BANK;REPRESENTATIVITY"
"A COMPUTERIZED DATA BASE OF MAIL ORDER GARMENTS: A CONTRIBUTION TOWARD ESTIMATING THE FREQUENCY OF FIBRE TYPES FOUND IN CLOTHING. PART 1: THE SYSTEM AND ITS OPERATION"	1996	"BIERMANN TW;GRIEVE MC"	"10.1016/0379-0738(95)01856-5"	""	"ARTICLE;  CLOTHING;  COMPUTER PROGRAM;  DATA BASE;  FORENSIC SCIENCE;  GERMANY;  INFORMATION PROCESSING;  PRIORITY JOURNAL;  TEXTILE"	""	"KT 33 TEXTILKUNDE, BUNDESKRIMINALAMT, THAERSTRASSE 11, 65193 WIESBADEN, GERMANY"	"Scopus"	"ARTICLE"	"FORENSIC SCIENCE INTERNATIONAL"	"DATA BANK;FIBRE COMPOSITION;FIBRE FREQUENCY;TEXTILES"
"A FLOWCHART SYSTEM FOR THE IDENTIFICATION OF COMMON SYNTHETIC FIBERS BY POLARIZED LIGHT MICROSCOPY"	1996	"STOEFFLER SF"	"10.1520/jfs15430j 10.1520/JFS15430J"	""	"ARTICLE;  CLASSIFICATION;  DIAGNOSTIC VALUE;  FIBER;  FORENSIC IDENTIFICATION;  MICROSCOPY;  POLARIMETRY;  PRACTICE GUIDELINE;  PRIORITY JOURNAL"	"STOEFFLER, SF (CORRESPONDING AUTHOR), MICHIGAN STATE POLICE FORENS LAB,42145 W 7 MILE RD,NORTHVILLE,MI 48167, USA"	"LABORATORY SCIENTIST, MICHIGAN STATE POLICE FORENSIC LAB., NORTHVILLE, MI, UNITED STATES;MICHIGAN STATE POLICE FORENSIC LAB., 42145 WEST SEVEN MILE ROAD, NORTHVILLE, MI 48167, UNITED STATES"	"Scopus,WebOfScience"	"ARTICLE"	"JOURNAL OF FORENSIC SCIENCES"	"FORENSIC SCIENCE;CRIMINALISTICS;FIBERS;FIBER IDENTIFICATION;POLARIZED LIGHT MICROSCOPY"
"A FURTHER LOOK AT RAMAN SPECTROSCOPY FOR THE FORENSIC EXAMINATION OF FIBRES"	2003	"THOMAS J;BUZZINI P;ROUX CP;REEDY BJ"	""	""	""	"UNIV TECHNOL SYDNEY, CTR FORENS SCI, BROADWAY, NSW 2007, AUSTRALIA; UNIV LAUSANNE, INST POLICE SCI \& CRIMINOL, CH-1015 LAUSANNE, SWITZERLAND"	""	"WebOfScience"	"MEETING ABSTRACT"	"FORENSIC SCIENCE INTERNATIONAL"	"FIBER;RAMAN;COTTON"
"A FURTHER STUDY OF DYE BATCH VARIATION IN TEXTILE AND CARPET FIBRES"	2005	"WIGGINS KG;HOLNESS JA"	"10.1016/S1355-0306(05)71634-8"	""	"ACRYLIC ACID;  DYE;  NYLON; ARTICLE;  CARPET FIBER;  DYE BATCH VARIATION;  FIBER;  FLUORESCENCE;  MICROSCOPY;  MICROSPECTROPHOTOMETRY;  QUALITY CONTROL;  TEXTILE FIBER;  THIN LAYER CHROMATOGRAPHY;  ULTRAVIOLET SPECTROPHOTOMETRY"	"WIGGINS, K (CORRESPONDING AUTHOR), LONDON LAB, FORENS SCI SERV, 109 LAMBERTH RD, LONDON SE1 7LP, ENGLAND; LONDON LAB, FORENS SCI SERV, LONDON SE1 7LP, ENGLAND"	"FORENSIC SCIENCE SERVICE, LONDON LABORATORY, 109 LAMBETH ROAD, LONDON SE1 7LP, UNITED KINGDOM"	"Scopus,WebOfScience"	"ARTICLE"	"SCIENCE AND JUSTICE"	"FORENSIC SCIENCE;DYE BATCH VARIATION;FIBRE;COMPARISON MICROSCOPY;VISIBLE LIGHT MICROSPECTROPHOTOMETRY;UV MICROSPECTROPHOTOMETRY;THIN;LAYER CHROMATOGRAPHY;THIN LAYER CHROMATOGRAPHY"
"A METHOD OF ASSESSING THE FIBRE SHEDDING POTENTIAL OF FABRICS"	1992	"COXON A;GRIEVE MC;DUNLOP J"	"10.1016/S0015-7368(92)73064-3"	""	"ACRYLIC ACID DERIVATIVE;  ADHESIVE AGENT;  NYLON; ARTICLE;  CLOTHING;  COTTON;  FIBER;  LIFE;  MATERIALS;  METHODOLOGY;  SIMULATION;  WOOL"	""	"USACIL-EUROPE, BETTS AREA 272, FRIEDBERGER LANDSTRASSE, FRANKFURT/MAIN, GERMANY"	"Scopus"	"NOTE"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"FIBRE TRANSFER AND RETENTION;SHEDDING POTENTIAL"
"A MORE EFFICIENT METHOD FOR SYNTHETIC TEXTILE FIBER ANALYSIS USING POLARIZED LIGHT MICROSCOPY"	2020	"REFFNER JA;KAMMRATH BW;KAPLAN S"	"10.1111/1556-4029.14252"	""	""	"REFFNER, JA (CORRESPONDING AUTHOR), CUNY JOHN JAY COLL CRIMINAL JUSTICE, 524 WEST 59TH ST, NEW YORK, NY 10019 USA; REFFNER, JOHN A; KAPLAN, SAMUEL, CUNY JOHN JAY COLL CRIMINAL JUSTICE, 524 WEST 59TH ST, NEW YORK, NY 10019 USA; KAMMRATH, BROOKE W, UNIV NEW HAVEN, 300 BOSTON POST RD, WEST HAVEN, CT 06516 USA"	"JOHN JAY COLLEGE OF CRIMINAL JUSTICE, CITY UNIVERSITY OF NEW YORK, 524 WEST 59TH STREET, NEW YORK, NY  10019, UNITED STATES;UNIVERSITY OF NEW HAVEN, 300 BOSTON POST RD, WEST HAVEN, CT  06516, UNITED STATES"	"Scopus,WebOfScience"	"ARTICLE"	"JOURNAL OF FORENSIC SCIENCES"	"FORENSIC SCIENCE;FIBER IDENTIFICATION;MICROSCOPY;POLARIZED LIGHT;REFRACTIVE INDEX;EFFICIENCY;POLARIZED LIGHT MICROSCOPY"
