"PY"	"TI"	"AU"	"DES"	"IDS"	"DI"	"SO"	"C1S"	"Coder"	"DT"
1956	"THE APPLICATION OF MICROCHEMISTRY IN FORENSIC CHEMISTRY"	"VAGNINA LL"	NA	NA	"10.1007/BF01216604"	"MIKROCHIMICA ACTA"	"27TH MP CRIME LABORATORY, US ARMY, FRANKFURT AM MAIN, GERMANY"	"Scopus"	"ARTICLE"
1961	"COURSES AND LECTURES"	"NA NA"	NA	NA	"10.1063/1.3057415"	"PHYSICS TODAY"	NA	"Scopus"	"ARTICLE"
1963	"THE MULTIPLE ENTRY CARD INDEX FOR THE IDENTIFICATION OF SYNTHETIC FIBRES"	"CULLIFORD BJ"	NA	NA	"10.1016/S0015-7368(63)70164-2"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"METROPOLITAN POLICE LABORATORY, NEW YARD, LONDON, UNITED KINGDOM"	"Scopus"	"ARTICLE"
1964	"ASBESTOS"	"VAN ORDEN DR"	NA	NA	"10.1016/B978-012507751-4/50024-0"	"ENVIRONMENTAL FORENSICS-CONTAMINANT SPECIFIC GUIDE"	NA	"Scopus"	"BOOK"
1966	"NAHSCHUZEICHEN AUF KUNSTFASERSTOFFEN UNTER BESONDERER BERCKSICHTIGUNG DER OBERFLCHENSTRUKTUR"	"JANSSEN W"	NA	"ADULT;  ARTICLE;  CASE REPORT;  FORENSIC MEDICINE;  GUNSHOT INJURY;  HUMAN;  MALE;  TEXTILE; ADULT;  TEXTILES;  WOUNDS; GUNSHOT"	"10.1007/BF00580417"	"DEUTSCHE ZEITSCHRIFT FUR DIE GESAMTE GERICHTLICHE MEDIZIN"	"INSTITUT FR GERICHTLICHE MEDIZIN DER UNIVERSITT HEIDELBERG, GERMANY"	"Scopus"	"ARTICLE"
1967	"MICROANALYSIS IN FORENSIC AND INDUSTRIAL INVESTIGATIONS: MICRO METHODS IN TEXTILE FIBRE EXAMINATION"	"FORD-KIRKPATRICK W"	NA	NA	"10.1039/SA9670400169"	"PROCEEDINGS OF THE SOCIETY FOR ANALYTICAL CHEMISTRY"	"LAMBEG RESEARCH INSTITUTE, LISBURN, CO. ANTRIRN, UNITED KINGDOM"	"Scopus"	"CONFERENCE MATERIAL"
1968	"BER DEN FORENSISCHEN BEWEISWERT HISTOLOGISCHER UND MIKROCHEMISCHER UNTERSUCHUNGEN BEI STICHVERLETZUNGEN"	"BOSCH K"	NA	"IRON;  LIPID; ARTICLE;  CADAVER;  FORENSIC MEDICINE;  HUMAN;  INJURY;  SKIN;  TEXTILE; CADAVER;  IRON;  LIPIDS;  TEXTILES;  WOUNDS AND INJURIES"	"10.1007/BF01380847"	"DEUTSCHE ZEITSCHRIFT FUR DIE GESAMTE GERICHTLICHE MEDIZIN"	"INSTITUT FR GERICHTLICHE MEDIZIN DER UNIVERSITT HEIDELBERG, GERMANY"	"Scopus"	"ARTICLE"
1968	"THE INFRARED IDENTIFICATION OF MICROSCOPIC SAMPLES OF MAN-MADE FIBERS."	"FOX RH;SCHUETZMAN HI"	NA	"BROMIDE;  POTASSIUM; ARTICLE;  FORENSIC MEDICINE;  HUMAN;  INFRARED RADIATION;  SPECTROSCOPY;  TECHNIQUE;  TEXTILE; BROMIDES;  INFRARED RAYS;  METHODS;  SPECTRUM ANALYSIS;  TEXTILES"	NA	"JOURNAL OF FORENSIC SCIENCES"	NA	"Scopus"	"ARTICLE"
1969	"COMPARATIVE CHARACTERISTICS OF THE TRACE ELEMENT CONTENT OF HUMAN HAIR, THE HAIR OF CERTAIN ANIMALS, AND SYNTHETIC FIBER [SRAVNITEL'NAIA KHARAKTERISTIKA SODERZHANIIA MIKROLEMENTOV V VOLOSAKH CHELOVEKA, NEKOTORYKH ZHIVOTNYKH I SINTETICHESKIKH VOLOKNAKH.]"	"ASHURBEKOV TR"	NA	"POLYMER;  TRACE ELEMENT; ANIMAL;  ARTICLE;  CAT;  FORENSIC MEDICINE;  GOAT;  HAIR;  HUMAN;  SWINE;  CATS;  GOATS;  POLYMERS;  TRACE ELEMENTS"	NA	"SUDEBNO-MEDITSINSKAYA EKSPERTIZA"	NA	"Scopus"	"ARTICLE"
1970	"A COMPARISON AND EVALUATION OF TECHNIQUES FOR IDENTIFICATION OF SYNTHETIC FIBERS."	"ROUEN RA;REEVE VC"	NA	"PLASTIC;  POLYMER; ARTICLE;  COMPARATIVE STUDY;  FORENSIC MEDICINE;  GAS CHROMATOGRAPHY;  HUMAN;  INFRARED RADIATION;  POLARIZATION MICROSCOPY;  SPECTROPHOTOMETRY;  TECHNIQUE;  TEXTILE; CHROMATOGRAPHY; GAS;  INFRARED RAYS;  METHODS;  MICROSCOPY; POLARIZATION;  PLASTICS;  POLYMERS;  TEXTILES"	NA	"JOURNAL OF FORENSIC SCIENCES"	NA	"Scopus"	"ARTICLE"
