"PY"	"TI"	"AU"	"DEW"	"IDW"	"C1W"	"DI"	"SO"	"Coder"	"DT"
1973	"ASBESTOS FIBERS IN HUMAN LUNGS - FORENSIC SIGNIFICANCE IN ENVIRONMENTAL DISEASE"	"EHRENREICH T ;MACKLER AD;LANGER AN;SELIKOFF IJ"	NA	NA	"CITY UNIV NEW YORK, MT SINAI SCH MED, ENVIRONM SCI LAB, NEW YORK, NY USA; NYU, SCH MED, DEPT FORENSIC MED, NEW YORK, NY USA"	NA	"ARCHIVES DES MALADIES PROFESSIONNELLES DE MEDECINE DU TRAVAIL ET DE SECURITE SOCIALE"	"WebOfScience"	"ARTICLE"
1973	"EVALUATION OF TRACE-ELEMENT ANALYSIS IN FORENSIC INVESTIGATION OF FIBER SAMPLES"	"BUSH HD;BUTTERWO.A BUTTERWOA;PEARSON EF;POUNDS CA"	NA	NA	"BRADFORD UNIV,SCH POSTGRAD STUDIES APPL PHYS,BRADFORD,YORKSHIRE,ENGLAND; HOME OFF CENT RES ESTABL,ALDERMASTON,BERKSHIRE,ENGLAND"	"10.1007/BF02516575"	"JOURNAL OF RADIOANALYTICAL CHEMISTRY"	"WebOfScience"	"ARTICLE"
1975	"RECOVERY OF FIBERS FROM SURFACE OF CLOTHING FOR FORENSIC EXAMINATIONS"	"POUNDS CA"	NA	NA	"CENT RES ESTAB,HOME OFF,ALDERMASTON,READING RG7 4PN,BERKSHIRE,ENGLAND"	"10.1016/S0015-7368(75)70966-0"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"WebOfScience"	"ARTICLE"
1977	"FORENSIC SIGNIFICANCE OF FLUORESCENT BRIGHTENERS - THEIR QUALITATIVE TLC CHARACTERIZATION IN SMALL QUANTITIES OF FIBER AND DETERGENTS"	"LLOYD JBF"	NA	NA	"LLOYD, JBF (CORRESPONDING AUTHOR), FORENS SCI LAB,GOOCH ST N,BIRMINGHAM B5 6QQ,ENGLAND"	"10.1016/S0015-7368(77)71141-7"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"WebOfScience"	"ARTICLE"
1980	"A NEW APPROACH TO THE MICROSCOPICAL EXAMINATION AND COMPARISON OF SYNTHETIC-FIBERS ENCOUNTERED IN FORENSIC-SCIENCE CASES"	"PETRACO N;DEFOREST PR;HARRIS H"	NA	NA	"PETRACO, N (CORRESPONDING AUTHOR), NEW YORK CITY CRIME LAB,235 E 20TH ST,NEW YORK,NY 10003, USA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1981	"ASBESTOS FIBERS IN HUMAN-LUNG - FORENSIC SIGNIFICANCE"	"EHRENREICH T ;SELIKOFF IJ"	NA	NA	"EHRENREICH, T (CORRESPONDING AUTHOR), LUTHERAN MED CTR,DEPT LABS,BROOKLYN,NY 11220, USA"	"10.1097/00000433-198103000-00012"	"AMERICAN JOURNAL OF FORENSIC MEDICINE AND PATHOLOGY"	"WebOfScience"	"ARTICLE"
1981	"IDENTIFICATION OF SINGLE FIBERS BY X-RAY-DIFFRACTION IN FORENSIC ANALYSIS"	"LYNCH BJ;KERRIGAN GC"	NA	NA	"LYNCH, BJ (CORRESPONDING AUTHOR), GOVT CHEM LABS,DIV FORENS CHEM,PERTH,WA,AUSTRALIA; WESTERN AUSTRALIAN INST TECHNOL,DEPT PHYS,S BENTLEY,WA 6102,AUSTRALIA"	"10.1002/xrs.1300100411"	"X-RAY SPECTROMETRY"	"WebOfScience"	"ARTICLE"
1982	"AN EVALUATION OF MOUNTING MEDIA FOR USE IN FORENSIC TEXTILE FIBER EXAMINATION"	"COOK R;NORTON D"	NA	NA	"COOK, R (CORRESPONDING AUTHOR), METROPOLITAN POLICE FORENS SCI LAB,109 LAMBETH RD,LONDON SE1 7LP,ENGLAND"	"10.1016/S0015-7368(82)71446-X"	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"WebOfScience"	"ARTICLE"
1983	"SOME HINTS FOR THE FORENSIC FIBER MICROSCOPIST"	"PALENIK CS"	NA	NA	"MCCRONE ASSOCIATES,CHICAGO,IL"	NA	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"WebOfScience"	"MEETING ABSTRACT"
1983	"THE ROLE OF FIBERS IN FORENSIC-SCIENCE EXAMINATIONS"	"GRIEVE MC"	NA	NA	"USA,CRIMINAL INVEST LAB,FRANKFURT,FED REP GER"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1983	"THERMAL SHRINKAGE OF SMALL SINGLE ACRYLIC FIBERS - A TECHNIQUE OF FORENSIC POTENTIAL"	"BRESEE RR;ORR CL"	NA	NA	"BRESEE, RR (CORRESPONDING AUTHOR), KANSAS STATE UNIV AGR \& APPL SCI,DEPT CLOTHING TEXT \& INTERIOR DESIGN,MANHATTAN,KS 66506, USA"	"10.1016/0379-0738(83)90128-7"	"FORENSIC SCIENCE INTERNATIONAL"	"WebOfScience"	"ARTICLE"
1984	"MYOGLOBIN LOSS AS THE 1ST LIGHT-MICROSCOPIC SIGN OF DAMAGE TO CARDIAC FIBER - AN INVESTIGATION OF 149 FORENSIC CASES OF OBDUCTION"	"KEIL W;ISHIYAMA I"	NA	NA	"KEIL, W (CORRESPONDING AUTHOR), HUMBOLDT UNIV,BEREICH MED CHARITE,INST GERICHTLICHE MED,DDR-1040 BERLIN,GER DEM REP"	NA	"DEUTSCHE GESUNDHEITSWESEN-ZEITSCHRIFT FUR KLINISCHE MEDIZIN"	"WebOfScience"	"ARTICLE"
1984	"THE COLLECTION OF DATA FROM FIBERS ENCOUNTERED IN FORENSIC-SCIENCE CASEWORK - A UK INTERLABORATORY SURVEY"	"LAING DK;HARTSHORNE AW"	NA	NA	"HOME OFF,FORENS SCI SERV,CENT RES ESTAB,READING RG7 4PN,BERKS,ENGLAND"	NA	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"WebOfScience"	"MEETING ABSTRACT"
1984	"THE ROLE OF FIBERS IN FORENSIC-SCIENCE EXAMINATIONS - DISCUSSION"	"STONEY DA"	NA	NA	"STONEY, DA (CORRESPONDING AUTHOR), INST FORENS SCI,CRIMINALIST LAB,610 16TH ST,SUITE 307,OAKLAND,CA 94612, USA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"LETTER"
1984	"THE ROLE OF FIBERS IN FORENSIC-SCIENCE EXAMINATIONS - REPLY"	"GRIEVE MC"	NA	NA	"GRIEVE, MC (CORRESPONDING AUTHOR), USA,CRIMINAL INVEST LAB EUROPE,FIBER SECT,APO,NEW YORK,NY 09757, USA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"LETTER"
1984	"THE USE OF OPTICAL COMPENSATORS IN FORENSIC FIBER EXAMINATIONS"	"CARROLL GR"	NA	NA	"ROYAL CANADIAN MOUNTED POLICE,CENT FORENS LAB,OTTAWA K1G 3M8,ONTARIO,CANADA"	NA	"JOURNAL OF THE FORENSIC SCIENCE SOCIETY"	"WebOfScience"	"MEETING ABSTRACT"
1987	"A FIBER DATA-COLLECTION FOR FORENSIC SCIENTISTS - COLLECTION AND EXAMINATION METHODS"	"LAING DK;HARTSHORNE AW;COOK R;ROBINSON G"	NA	NA	"LAING, DK (CORRESPONDING AUTHOR), HOME OFF FORENS SCI SERV,CENT RES ESTAB,READING RG7 4PN,BERKS,ENGLAND; METROPOLITAN POLICE FORENS SCI LAB,LONDON SE1 7LP,ENGLAND; HOME OFF FORENS SCI LAB,CHEPSTOW,GWENT,WALES"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"ARTICLE"
1988	"A NOVEL TECHNIQUE FOR THE COLLECTION AND RECOVERY OF FOREIGN FIBERS IN FORENSIC-SCIENCE CASEWORK"	"CHOUDHRY MY"	NA	NA	"CHOUDHRY, MY (CORRESPONDING AUTHOR), USA,CRIMINAL INVEST LAB,CONUS,FOREST PK,GA 30050, USA"	NA	"JOURNAL OF FORENSIC SCIENCES"	"WebOfScience"	"NOTE"
